video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"0INTSQuYIKc","ESCOLA ME TRAUMATIZOU! (ANIMAÇÃO)","2021-01-12T14:41:27Z","UCb792SuaObwn3k8IA-vhFQw","Drawn Mask","24","21.13.01","drawn|tales|mask|história|historinha|animação|animation|flash|desenho|desenhado|adolescente|animado|divertido|bonitinho|fofo|engraçado|drawnmask|drawtales|drawmask|animada|histórias|de|vida|toon|vlog|contador|conta|dublado|desenhista|referencia|referencias|meme|para|familia|crianças","929030","126119","1515","11037","https://i.ytimg.com/vi/0INTSQuYIKc/default.jpg","False","False","As primeiras 1000 pessoas que usarem o link ganham uma conta Premium Temporaria da SkillShare: https://skl.sh/drawnmask01211Twitter: https://twitter.com/drawn_maskInstagram: https://www.instagram.com/drawn_mask/Desenhista que fez esse video possivel: https://twitter.com/DanieNejaimeP--------------------------------------------------------------------------------------------------Musicas (Foi pedido permissão aos criadores/USED WITH PERMISSION):Intro: Undertale - Dogsong (Acoustic Cover): https://youtu.be/FntlV3Qhr3YMusica central: Calypso Beach Walk, Triumph, Wild Pogo, Destination Unknown, Mirage, Thunderstorm, How it Began, St Francis, Bongo Madness, AI 2, Motion Sickness, Something Is Wrong, Tension Nonstop, Call The Shots - Slynk - Musica de criação do YoutubeFuture Gladiator de Kevin MacLeod está licenciada sob uma licença Creative Commons Attribution (https://creativecommons.org/licenses/by/4.0/)Origem: http://incompetech.com/music/royalty-free/index.html?isrc=USUAN1200051Artista: http://incompetech.com/Musica de finalização: Casbah Towers - Musica de Criação do Youtube-------------------------Contato: drawn_mask@hotmail.com#DrawnMask","10M26S"
"TISf20tBCLc","DIZENDO SIM PRA TUDO POR 24 HORAS!! - ME ARREPENDI MUITO!!","2021-01-12T15:04:35Z","UCxRql7KwEurNrmFCGaXX8RQ","Carol Bresolin","24","21.13.01","carol|bresolin|carol bresolin|vlog|comédia|humor|Dizendo sim pra tudo|Dizendo sim|Meu namorado dizendo sim pra tudo|24 horas dizendo sim pra tudo|24 horas|Por um dia|Dizendo sim no mercado|Carol bresolin teste gravidez|Carol bresolin mãe|Carol bresolin gravida|Carol bresolin e Maria|Carol bresolin e irmã do ujoãozinho|Carol bresolin terminou namoro|Carol bresolin e ujoaozinho|Fingindo ser gravida|Fingi ser gravida|Falsa grávida|Mãe|Bebe|Estou grávida","569217","61141","1294","1535","https://i.ytimg.com/vi/TISf20tBCLc/default.jpg","False","False","Passei o dia inteiro dizendo SIM pra tudo para a Maria e a Camilla! Elas passaram dos limites!!!Acompanhe também nas redes sociais: Instagram: @carolbresolinFacebook: carolbresolinTwitter: @carolbresolin","14M58S"
"uq15N7Ptvkg","♫ E SE CERTOS LANCES TIVESSEM SIDO DIFERENTES? | Paródia Ilusão (Cracolândia) - Alok, MC Hariel","2021-01-12T14:54:35Z","UCGFNp4Pialo9wjT9Bo8wECA","FutParódias","17","21.13.01","Futebol|FutParodias|Paródia|futparodia|futeparodia|parodia|fut parodia|fut parodias|Paródia com Jogadores|diego souza cassio|neymar|adulto ney|neymar futparodias|neymar junior|neymar psg|neymar champions league|messi higuain|messi argentina|messi seleção|lincoln flamengo|lincoln mundial|sergio ramos salah|ronaldo fenomeno|ronaldo 1998|convulsão ronaldo|ilusão cracolandia|paródia ilusão cracolandia|alok|mc hariel|parodia alok|paródia mc hariel","961241","153878","1105","7554","https://i.ytimg.com/vi/uq15N7Ptvkg/default.jpg","False","False","Uma paródia de futebol da música Ilusão (Cracolândia) de Alok, MC Hariel, MC Davi, MC Ryan SP, Salvador da Rima e Djay W. Já pensou se aquela bola do Lincoln tivesse entrado? E se o Diego Souza não perdesse o gol feito na frente do Cássio? O futebol é cheio de possibilidades! A gente considerou que o destino pudesse ter sido diferente em alguns momentos e pensamos o que poderia ter acontecido se alguns lances acontecessem de outra forma, vem ver essa doideira!Bora seguir nossas redes? =)👍 INSTAGRAM:https://instagram.com/dezaodrumondhttps://instagram.com/leonwhosoeverhttps://instagram.com/FutParodias👍 TWITTER:https://twitter.com/dezaodrumondhttps://twitter.com/leonwhosoeverhttps://twitter.com/FutParodias👍 FACEBOOK:https://facebook.com/dezaodrumondhttps://facebook.com/leonwhosoeverhttps://facebook.com/FutParodias-----------------------------------------------------------------------------------------------🎼 Playback: Singer! KaraokêLink: https://www.youtube.com/watch?v=q0ynaIV3gNY&feature=youtu.be💻 Edição: Canal iFutMagicLink: https://www.youtube.com/channel/UCn7BfZqsZ6ZyWM1EOzsbelw-----------------------------------------------------------------------------------------------LETRA:Cê já parou pra imaginar?Se o destino às vezes fosse no caminho oposto Se em momentos que marcaramO final da história acabasse sendo outroSe o Renato Augusto de repente finaliza diferenteE faz o segundo gol no CourtoisO Brasil empata e vai pra frente, vira a partida e venceTalvez o Hexa da gente ia rolarOu se o Mbappé dá um chute quente que o Neuer não defendeSe chutasse como o gênio RibamarO Paris levanta a Champ-Champ e o Shiekola de presenteDá algum país inteiro pro NeymarO Ney... teria seu apogeuVencer com o PSG, tem que ser um deusPensa que louco se o Lincoln não tem a perna tortaE marca para o Mengão, ganha a taça pra tropaSe a Liberta já formou um carnaval daoraO Mundial ia canonizar o JJE pensa se naquele lance em 2014 sai o gol do PinillaJá nem daria mais tempo de classificar a nossa CanarinhaNosso menino Neymar não teria apanhado do tal do ZuñigaE aquela terrível partida do 7x1 sequer exisitiraE se o Tricolor não tivesse a barreira toda esburacadaO chutão do Robô só seria uma bolada e uma bunda inchadaO Imortal poderia vencer a partida e levantar a taçaE o Renight seria um deus a trazer o mundial duas vezes pra casaCê já parou pra imaginar?Se o destino às vezes fosse no caminho oposto Se em momentos que marcaramO final da história acabasse sendo outroAhn, ahnMeu Pai, que gol fez o Pedrinho, que pinturaMas a vida do Corinthians é duraSe o VAR não anulasse o gol de placa do PedrinhoOs Gaviões talvez levassem o tetra pro seu ninhoE se o Danilo não estivesse tão iluminadoLevasse o gol e o time da Chape fosse eliminadoA tragédia tão sofrida, aquele triste acidenteNão teria rolado e estariam aqui com a gente...Por quê? Por que isso aconteceu?É difícil entender o plano de Deus...Cê já parou pra imaginar?Se o destino... fosse pra um lado oposto Se em momentos que marcaramO final da história acabasse sendo outro2014, irmão, só imaginaSe o Higuaín botasse a bolinha na redinhaO Messi, a Copa, a festa, a vibeE a gente aturando a ArgentinaE se o Sergio Ramos não conseguisse torcerO braço do mano Salah, como é que ia ser?O Liverpool ia erguer aquela Champions Lê?E a Bola de Ouro iria pra quem do Egito é o rei?E so Fenômeno em vez de passar malTivesse bem contra a França na finalTalvez Zidane iria levar um pauE o penta chegaria antes em nosso quintalImagina se o Diego Souza não tivesse erradoE o Timão levasse um tombo da motocicletaTeria para todo o sempre um feito inusitadoO único campeão do mundo sem ganhar LibertaE o mundo iria para outra direçãoTalvez o Vasco dominasse com um supertimeTalvez o Mengão caísse numa depressãoE pouco a pouco se tornasse uma versão do ÍbisJá pensou?Cê já parou pra imaginar?Se o destino às vezes fosse no caminho oposto Se em momentos que marcaramO final da história acabasse sendo outro","4M2S"
"6lscM0iVXdI","REVIRAVOLTA NO FLAMENGO! MARCELO GALLARDO TÉCNICO DO MENGÃO EM 2021? 9 JOGADORES DE SAÍDA E+","2021-01-12T12:00:05Z","UCIpylxq_JDl2YpvTpN11p9Q","FLAZOEIRO","17","21.13.01","Flamengo|Fla|Mengo|Mengão|Fla Noticias|Noticias do Flamengo|Globo Esporte|Fox Sports|Flamengo 2020|Reforços do Flamengo|Treino do Flamengo|Ultimas Noticias do Flamengo|Treino do Mengão|Rogerio Ceni|Rogerio Ceni Flamengo|Rogerio Ceni fica no Flamengo|demissão de Rogerio Ceni|Flamengo demite Rogerio Ceni|novo tecnico do Flamengo|Novo técnico do mengão|Gallardo|Gallardo Flamengo|Gallardo novo tecnico do Flamengo|9 jogadores de saída do Flamengo|Marcos Braz","470113","39323","1087","3422","https://i.ytimg.com/vi/6lscM0iVXdI/default.jpg","False","False","","8M54S"
"ppkX8epoD9g","A Bigger Badder Bowser - Super Mario 3D World + Bowser's Fury - Nintendo Switch","2021-01-12T14:00:30Z","UCGIY_O-8vW4rfX98KlMkvRg","Nintendo","20","21.13.01","nintendo|play|play nintendo|game|gameplay|fun|video game|kids|action|adventure|rpg","3739790","179174","3351","33822","https://i.ytimg.com/vi/ppkX8epoD9g/default.jpg","False","False","Bowser has become gargantuan and lost all control! Join forces with Bowser Jr. to stop his big bad dad in the Bowser's Fury adventure, included in the Super Mario 3D World + Bowser's Fury game. Super Mario 3D World + Bowser's Fury launches on February 12, 2021 only on Nintendo Switch.Learn more: https://www.nintendo.com/games/detail/super-mario-3d-world-plus-bowsers-fury-switch/Subscribe for more Nintendo fun! https://goo.gl/HYYsotVisit Nintendo.com for all the latest! http://www.nintendo.com/Like Nintendo on Facebook: http://www.facebook.com/NintendoFollow us on Twitter: http://twitter.com/NintendoAmericaFollow us on Instagram: http://instagram.com/NintendoFollow us on Pinterest: http://pinterest.com/Nintendo","2M17S"
"QfbcLnQYlUE","MEU RELATO DE PARTO PREMATURO! 😰 | *Gêmeas - 28 semanas!*","2021-01-12T13:01:07Z","UC1CfaGfYo-97Qbnf4mh_OSA","Amanda Curvelo","22","21.13.01","gravidez|gravida|engravidar rapido|gemeos|gestação gemelar|hcg|segundo trimestre|dieta|flexivel|alimentação na gravidez|não engordar na gravidez|estrias|chá revelação|twins|pregnant|meninas|gêmeas|engravidar de gêmeas|sintomas|obstetra|pré natal|cuidados|pele|rosto|cabelo|barriga|MORFOLÓGICA|drenagem na gravidez|sindrome|transfusão fetal|feto|medo|receio|susto|gestação|relato de parto|parto|cesárea|emergencia|29 semanas|28 semanas|prematuro|UTI","162581","21343","167","1328","https://i.ytimg.com/vi/QfbcLnQYlUE/default.jpg","False","False","✅  GROWTH SUPPLEMENTS 👊Loja: https://www.gsuplementos.com.br CUPOM de DESCONTO:  FLEX_____________ROUPAS FITNESS - MITHhttps://www.mithoficial.com.br/cupom: AMANDA -10%OFF________________Barrinha de proteína Bold:https://boldsnacks.com.br/loja/Cupom: FLEX - 10%off_______________Livro de receitas com macros e código de barras para o MyFitnessPalLivro 1: FITNESS FLEXÍVEL: RECEITAS COM MACROS! link: https://hotm.art/fitnessflexivelLivro 2: FITNESS FLEXÍVEL: A MAGIA DA COZINHAlink: https://hotm.art/fitnessflexivelmagiaCOMBO: 2 LIVROS (melhor custo benefício) link: https://hotm.art/comboflexivellink: https://hotm.art/comboflexivellink: https://hotm.art/comboflexivel-------------------------------💊💊💊 Manipulados e FITOTERÁPICOS 💊💊💊:💊OFICIALFARMA (Cupom FLEX = 10% desconto):LOJA: https://www.oficialfarma.com.br/ -------------------------------COMO FAZER DIETA FLEXÍVEL:CONFIRA AS 4 AULAS gratúitas e entenda todo o conceito da Dieta Flexivel e como aplicar na sua vida.https://www.youtube.com/playlist?list=PLQxBMgGyBqcWTTEWC9W83mNkDEN9xlNYW Me segue lá ▹INSTAGRAM ‣ @amandacurvelo","10M2S"
"BTBIPcLQjc4","COMPREI UM CARRO DE 900 MIL REAIS! EXCLUSIVO","2021-01-12T13:00:03Z","UCzcjxzNHVwsa2gZHpA4bfrA","PetrolHead","22","21.13.01","PetrolHead|petrol head|luan|luan petrol|petro red|petrou|petrol red|petrolred|project car|projeto petrolhead|petro|petro read|luan marques galasso|ferrari f430|capota f430|ferrari conversivel|ferrari 2008|ferrari vermelha|comprei uma ferrari","157353","15867","1577","1132","https://i.ytimg.com/vi/BTBIPcLQjc4/default.jpg","False","False","Depois de semanas de ansiedade finalmente vamos ver o carro novo! Será que valeu a espera? Um carro emblemático! As dicas eram... 3km/l, tanque de Dodge ram, cambio dualogic, pesa um pouco mais que um opala e algumas outras! Será que você acertou?Canal da Minha namorada Carla https://youtube.com/channel/UCQCvHFw5hoGasp0xDICF5uQSORTEIO DA BMWhttps://www.bmw300cv.com/Torne-se um membro! https://www.youtube.com/channel/UCzcjxzNHVwsa2gZHpA4bfrA/join","12M22S"
"YFGJDt0-mEc","ACERTAMOS AS DEZENAS DA MEGA SENA...em cartelas diferentes 😱","2021-01-12T16:09:00Z","UCR3vcUrhFUdzagng58ueI2w","Invento na Hora","24","21.13.01","invento na hora|inventonahora|lucas lira|lucaslira|sunaika bruna|sunaikabruna|dezenas da mega sena|mega sena|loteria|lotérica|lotofacil|lotomania|mega|sena|dinheiro|rico|milhões","1251864","189354","1545","6448","https://i.ytimg.com/vi/YFGJDt0-mEc/default.jpg","False","False","🚀 A LOJA ESTÁ DE VOLTA: https://www.inventonahora.com.br/ 🚀✔️FACEBOOK: http://www.facebook.com/inventonahora✔️ INSTAGRAM: http://www.instagram.com/lucas_lira ✔️ TWITTER: http://www.twitter.com/lucas_lira  📩 E-MAIL: comercial@inventonahora.tv","12M25S"
"vBHild0PiTE","Lana Del Rey - Chemtrails Over The Country Club (Official Video)","2021-01-11T19:10:09Z","UC3N5y6UWKJaKqoU2b_0MfTQ","LanaDelReyVEVO","10","21.13.01","Lana|Del|Rey|Chemtrails|Over|The|Country|Club|Polydor|Records|Pop","4578868","459068","8230","44844","https://i.ytimg.com/vi/vBHild0PiTE/default.jpg","False","False","Lana Del Rey - Chemtrails Over The Country ClubThe New Album 'Chemtrails Over The Country Club' - Out March 19th Pre-Order Now https://Lana.lnk.to/ChemtrailsOverTheCountryClubVDSign-up to be notified first https://Lana.lnk.to/ChemTrailsJan11Follow Lana Del Rey:http://www.instagram.com/lanadelreyhttp://www.facebook.com/lanadelreyhttp://www.twitter.com/lanadelreyhttp://lanadelrey.tumblr.comhttps://LanaDelRey.comMusic video by Lana Del Rey performing Chemtrails Over The Country Club. © 2021 Lana Del Rey, under exclusive licence to Universal Music Operations Limitedhttp://vevo.ly/mC5fVM","5M41S"
"gHhjfYeXRwc","BASTIDORES | VASCO 3 X 0 BOTAFOGO | VASCO TV","2021-01-12T00:48:41Z","UCZD5qcen7lbLPFTjfvdLFcw","Vasco TV","17","21.13.01","Vasco|Vasco da Gama|VascoTV|Futebol Brasileiro","273738","33107","275","2479","https://i.ytimg.com/vi/gHhjfYeXRwc/default.jpg","False","False","Confira os bastidores da vitória de 3 a 0 sobre o Botafogo.Captação: Márcio SantanaEdição: Márcio SantanaInscreva-se na VASCO TV é de graça! Não se esqueça de curti e compartilhar com a torcida. fique por dentro das novidades do nosso GIGANTE DA COLINA! https://www.youtube.com/user/vasco  Seja Sócio Gigante, com desconto em ingressos e privilégios exclusivos nos produtos oficiais do nosso Clube! Clique aqui: https://sociogigante.comSiga o nosso VASCÃO nas redes sociais! Facebook: http://facebook.com/vascodagamaInstagram: http://Instagram.com/vascodagamaTwitter: https://twitter.com/vascodagama","24M19S"
