video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"b_mUiBj1uBk","MEXIFY REAGIERT auf YOUTUBER die auf MEXIFYS Aussehen reagieren!","2020-10-18T08:00:06Z","UCmsRVk4x80Sy3yPmP_GVrIw","Mexify","20","20.18.10","Mexify|Mexify Uncut|Mexify Games|Mexi|Furdis|Fufu|MEXIFY ZEIGT SICH|mexify zeigt sich|mexi zeigt sich|mexis gesicht|mexify qunda|mexify face reveal|mexify games fortnite|mexify fortnite snipes|fortnite rette die welt|frage und antwort video|1.000.000 abonnenten special|mexify 1.000.000 special|among us|unge|ungespielt|standartskill|paluten|paluten reagiert auf mexify|unge reagiert auf mexify|standartskill reagiert auf mexify|rewinside|nebelniek","459256","94560","553","8697","https://i.ytimg.com/vi/b_mUiBj1uBk/default.jpg","False","False","Hey Leute, heute habe ich auf die Reaktion der YouTuber reagiert.. mit FACECAM! ._.Btw ich Streame um 19 Uhr (Sonntag 18.10) auf Twitch, hier der Link: https://www.twitch.tv/mexify 🎮 Mexify Buch bei Amazon: https://amzn.to/3azf81f Mexify Buch bei Thalia: http://bit.ly/Mexify_Thalia ᵂᴱᴿᴮᵁᴺᴳ___👶🏻 Die YouTuber die reagiert haben:@ungespielt @Standart Skill @Paluten @rewinside @MckyTV @NebelNiek Mein Creator Code: Mexify Den Code muss man nach 14 Tagen wieder neu eingeben! :3 ᵂᴱᴿᴮᵁᴺᴳ📷 Insta: https://instagram.com/mexify/ 🐦Twitter: https://twitter.com/Mexify Hi"
"VDBc1etieAA","Brawl Stars: Brawl Talk! LEGENDARY Brawler, Brawl-o-ween, and MORE!","2020-10-17T08:00:13Z","UCooVYzDxdwTtGYAkcPmOgOw","Brawl Stars","20","20.18.10","brawl stars|mobile game|mobile strategy game|mobile rpg|mobile battle royale|battle royale|supercell game|legendary|brawl talk|brawloween|haloween|brawler","10513849","668515","7881","59843","https://i.ytimg.com/vi/VDBc1etieAA/default.jpg","False","False","Download NOW!! ►► https://supr.cl/playbrawlBe a BRAWLER! Subscribe! ►► https://supr.cl/subscribeFast-paced 3v3 multiplayer and battle royale made for mobile! Play with friends or solo across a variety of game modes in under three minutes.Unlock and upgrade dozens of Brawlers with powerful Super abilities, Star Powers and Gadgets! Collect unique skins to stand out and show off. Battle in a variety of mysterious locations within the Brawliverse!BATTLE IN MULTIPLE GAME MODES- Gem Grab (3v3): Team up and out-strategize the opposing team. Collect and hold 10 gems to win, but get fragged and lose your gems.- Showdown (Solo/Duo): A battle royale style fight for survival. Collect power ups for your Brawler. Grab a friend or play solo - be the last Brawler standing in the rowdiest battle royale yet. Winner take all!- Brawl Ball (3v3): It's a whole new Brawl game! Show off your soccer/football skills and score two goals before the other team. There are no red cards here.- Bounty (3v3): Take out opponents to earn stars, but don’t let them pick you off. The squad with the most stars wins the match!- Heist (3v3): Protect your team’s safe and try to crack open your opponents’. Navigate the map to sneak, blast and blow your way clear to the enemies treasure.- Special Events: Limited time special PvE and PvP game modes.- Championship Challenge: Join Brawl Stars' esports scene with in-game qualifiers!UNLOCK AND UPGRADE BRAWLERSCollect and upgrade a variety of Brawlers with powerful Super abilities, Star Powers and Gadgets! Level them up and collect unique skins.BRAWL PASSComplete quests, open Brawl Boxes, earn Gems, pins and an exclusive Brawl Pass skin! Fresh content every season.BECOME THE STAR PLAYERClimb the local and regional leaderboards to prove you’re the greatest Brawler of them all!CONSTANTLY EVOLVINGLook out for new Brawlers, skins, maps, special events and games modes in the future.PLEASE NOTE! Brawl Stars is free to download and play, however, some game items can also be purchased for real money. If you don't want to use this feature, please disable in-app purchases in your device's settings. Also, under our Terms of Service and Privacy Policy, you must be at least 9 years of age to play or download Brawl Stars.Features:- Team up for real-time 3v3 battles against players from across the world- A fast-paced multiplayer battle royale mode made for mobile- Unlock and collect new, powerful Brawlers - each with a signature attack and Super ability- New events and game modes daily- Battle solo or with friends- Climb to the top of the leaderboards in global and local rankings - Join or start your own Club with fellow players to share tips and battle together- Customize Brawlers with unlockable skins- Player-designed maps offer challenging new terrain to masterFrom the makers of Clash of Clans, Clash Royale and Boom Beach!Support:Contact us in-game via Settings, Help and Support — or visit http://supercell.helpshift.com/a/brawl-stars/Privacy Policy:http://supercell.com/en/privacy-policy/Terms of Service:http://supercell.com/en/terms-of-service/Parent's Guide:http://supercell.com/en/parents/???:https://www.youtube.com/wkbrl"
"dczvAyKD2kE","Ist es ein JUNGE oder ein MÄDCHEN?! DER TEST I Bella","2020-10-17T15:30:02Z","UCafDkvBtFbdPeFoKbnSMgMg","Bella Kraus","26","20.18.10","outing|geschlecht|gender reveal|geschlecht outing|live|live reaktion|geschlecht mythen|vlog|schwanger|schwangerschaft|mädchen oder junge|mädchen outing|junge outing|bella kraus|bella schwanger|bella geschlecht|bella baby|schwanger geschlecht|bella|bella vlog|fma|vlog schwanger|vlog schwangerschaft|fail|Boy or girl|Mythen Schwangerschaft","164306","4650","456","248","https://i.ytimg.com/vi/dczvAyKD2kE/default.jpg","False","False","BEKOMMEN WIR EINEN DRITTEN JUNGEN ODER EIN ZWEITES MÄDCHEN?WIR MACHEN DEN MYTHEN-TEST!#Bella #schwanger  #boyorgirl_______________________________________________________________instagram: BELLA: @isabel_krausMIMI: @mimikraus________________________________________________________________________"
"fsPJ6XjY0t4","Lustig! Elastic sorgt für Goldstimmung bei Chris | Das Supertalent vom 17.10.2020","2020-10-17T20:00:02Z","UCvbR8mrSZ1BXf2LNnp-lGpw","Das Supertalent","24","20.18.10","Supertalent|Das Supertalent|Supertalent 2020|Deutschland|RTL|Bruce Darnell|Dieter Bohlen|rtl|Super Talent|Daniel Hartwich|TV|Television|Fernsehen|Casting|Musik|Music|Modern Talking|Germany's Got Talent|Got Talent|Germany|Talent|Chris Tall|Evelyn Burdecki|Victoria Swarovski|Stephane Delvaux|Elastic|Puppe|Comedy|Clown|goldener Buzzer|golden Buzzer|Goldenbuzzer|Elastic & Francesca","46466","1976","205","191","https://i.ytimg.com/vi/fsPJ6XjY0t4/default.jpg","False","False","Jetzt streamen: https://www.tvnow.de/shows/das-supertalent-46?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=das-supertalentAlle Infos und Clips: http://www.rtl.de/cms/sendungen/das-supertalent.html?utm_source=youtube&utm_medium=editorial&utm_campaign=beschreibung&utm_term=das-supertalentDer lustige Stephane (48) aus Belgien kam, ebenso wie seine französische Assistentin Francoise (46), schon sehr früh im Leben zur Artistik, obwohl sie beide nicht aus einer Zirkusfamilie stammen. 2015 trat Stephane in einer Gala in Frankreich auf, wo er auch Francoise kennenlernte. Augenblicklich verliebten sie sich ineinander und sind seitdem ein Paar. Kurze Zeit später entschlossen sie sich, es auch beruflich miteinander zu wagen und als Duo aufzutreten. Beim Supertalent versuchen die Comedians die Jury zum Lachen zu bringen. Das Supertalent bei Facebook: https://www.facebook.com/DasSupertalent.RTL/Das Supertalent bei Instagram: https://www.instagram.com/supertalent/Das Supertalent bei Twitter: https://twitter.com/RTLdeTVNOW im App Store: https://itunes.apple.com/de/app/tv-now/id1057991212?mt=8TVNOW im Google Play Store: https://play.google.com/store/apps/details?id=de.rtli.tvnowKanal abonnieren! 👉https://www.youtube.com/user/SupertalentRTL?sub_confirmation=1#Supertalent #RTL #TVNOW"
"pBrNKI_bAjQ","Das erste Kennenlernen 😍 Mein Wochenbett & Baby kuscheln | Isabeau","2020-10-17T08:00:05Z","UCucHkPnBa7pB-jITCGuSqKw","Isabeau","22","20.18.10","isabeau|geburt|schwangerschaft|baby|schwanger|familie|vlog|youtube mama|Hausgeburt|Wochenbett|Baby outing|Stillen|Kennenlernen|Geschwister|Entbindung|Milchstau|Familien leben|Baby Blues|Wickeltisch|Babyzimmer|Roomtour|Moritz","419528","14382","652","765","https://i.ytimg.com/vi/pBrNKI_bAjQ/default.jpg","False","False","Hi Zusammen, ich melde mich aus meinem Wochenbett. Die Kinder lernen das erste Mal ihren kleinen Bruder kennen. Ich wünsche euch viel Spaß bei dem Video :)Kanal Mitglied werden: https://www.youtube.com/channel/UCucHkPnBa7pB-jITCGuSqKw/joinIch würde mich mega über einen Daumen nach oben freuen & lasst mir gerne euer Feedback da! ♥-----------------------------------------------------------------------------------WERBUNG:MEIN ONLINE SHOP: http://www.isabeau-shop.de MEIN MAMI BUCH | Isi durch die Schwangerschaft:https://www.thalia.de/shop/home/artikeldetails/isi_durch_die_schwangerschaft/isabeau/ISBN3-96096-022-0/ID64513624.html -----------------------------------------------------------------------------------♥ Soziale Netzwerke:Instagram: isabeau_youtubeE-Mail Kontakt für Firmen und Werbekunden:isabeau-youtube@gmx.de♥ Häufig gestellte Fragen von Euch:Mit welcher Kamera drehst du deine Videos?- Olympus OM-D E-M5 IIWelches Objektiv benutzt du?- Sigma 30 mm F1,4Welches Videobearbeitungsprogramm verwendest du?- Final Cut Pro X oder iMovieWie bist du dazu gekommen, Youtube Videos zu machen?- Langeweile in der Schwangerschaft :)Wie alt seid Ihr?- Isabeau: 22.06.1991 | Alex: 24.10.1987 | Leona: 26.04.2012 | Pauline: 7.05.2016 | Frida: 13.09.2017Seid Alex & Du verheiratet? - Ja seit dem 18.02.2017Wieso zeigt ihr eure Kinder nicht? - Um sie zu schützen und ihre Privatsphäre zu bewahren. Zudem sollen unsere Kinder später selbst entscheiden, ob sie im Internet zu sehen sein wollen oder nicht! :)Heißt du wirklich Isabeau?- Ja mein Name ist Isabeau und wird Isabo ausgesprochen. Der Name kommt aus Frankreich und bedeutet so viel wie: Isa die SchöneWas sind eure Berufe?- Ich bin gelernte Krankenschwester. Alex arbeitet als Elektriker für Automatisierungstechnik.DANKE FÜR EURE UNTERSTÜTZUNG! Ich wünsche Euch viel Spaß auf meinem Kanal:)Verpasst keine Videos und abonniert mich, ist kostenlos!Fühlt Euch gedrückt, eure Isabeau ♥"
"1V_03efSkg0","$300,000 Influencer Trivia Tournament!","2020-10-18T00:19:57Z","UCX6OQ3DkcsbYNE6H8uQQuVA","MrBeast","24","20.18.10","Creator Games|MrBeast|Mr Beast|Creator Games 2","13327678","976433","15231","52190","https://i.ytimg.com/vi/1V_03efSkg0/default.jpg","False","False","A trivia elimination tournament to see who is the smartest creator in the world! Last one standing receives $300,000 to give to their subscribers. Competitors: Addison Rae vs. GeorgeNotFound KSI vs. Rosanna Pansino Mark Rober vs. Gibi   Safiya Nygaard vs. Kwebbelkop Charli & Dixie D'Amelio vs. Preston Arsement Yes Theory vs. Bretman Rock Typical Gamer vs. Lexi Rivera  Dream vs. MatPat & Steph   Alex Warren vs. Lazarbeam  Matt Stonie vs. Marques Brownlee  Laurenzside  vs. ZHC  Swoozie vs. Jaiden Animations"
"ujLxVzOx00A","Die etwas andere Roomtour... 🏁 MARIO KART LIVE: HOME CIRCUIT 🏁 Unboxing, Mini-Review & Gameplay","2020-10-17T14:00:27Z","UCXGPGV90SPduyn9LVX9s7Kw","Domtendo","20","20.18.10","Mario Kart Live: Home Circuit|Mario Kart Live: Home Circuit Unboxing|Mario Kart Live: Home Circuit deutsch|Mario Kart Live: Home Circuit Gameplay|Mario Kart Live: Home Circuit Domtendo|Mario Kart Home Circuit|Mario Kart|Nintendo|Nintendo Switch|Mario Kart Live: Home Circuit Review|Domtendo Büro|Domtendo Roomtour|Roomtour","156391","17173","164","886","https://i.ytimg.com/vi/ujLxVzOx00A/default.jpg","False","False","Let's Show Mario Kart Live: Home Circuit - Büro [Deutsch ♦ Blind ♦ Real Life ♦ 4K@60FPS] 🎇 E-SHOP GUTHABEN bei INSTANT GAMING KAUFEN*: https://bit.ly/2SiuEWS❤️ Meinen Kanal abonnieren: http://goo.gl/440Rdg🤝 Trinkgeld geben: https://bit.ly/2Yhanno💪 Mitglied werden: https://goo.gl/QvNJPr👕 Mein Merch: https://goo.gl/Vfsyb9🎇 INSTANT GAMING GEWINNSPIEL: https://bit.ly/34i9Pkb➡️ KART mit MARIO KAUFEN*: https://amzn.to/3lUxRZrKART mit LUIGI KAUFEN*: https://amzn.to/343MLGN➡️ NINTENDO SWITCH KAUFEN*: https://amzn.to/39lhjV5📷 Instagram: http://goo.gl/6elst3🐦 Twitter: https://twitter.com/Domtendo🎮 ALLE Projekte: http://goo.gl/CKAgty📝 Uploadplan: http://goo.gl/esnTaC➡️ Playlist LET'S SHOW: http://goo.gl/4ETPYi*= Affiliate Link. Ich bekomme für die Verlinkungen eine Umsatzbeteiligung von den Anbietern, ohne dass ihr einen Cent mehr dabei zahlt!▬­▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬✒ INFORMATIONEN SPEZIELL ZU DIESER FOLGE:Die etwas andere Roomtour durch mein Büro mit Mario Kart Live: Home Circuit.▬­▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬✒ ALLGEMEINE INFORMATIONEN ZUM SPIEL:Mit Mario Kart Live: Home Circuit, dem brandneuen Mario Kart-Spielerlebnis für Nintendo Switch, machst du dein Zuhause zur Rennstrecke!So hast du dein Wohnzimmer, dein Schlafzimmer oder deine Küche noch nie gesehen! Mario Kart-Rennen erwachen in deinem Zuhause zum Leben ‒ und auf deinem Bildschirm!Steuere mit deiner Nintendo Switch-Konsole ein Kart und beobachte, wie es auf die Ereignisse im Spiel reagiert, während du Kurve für Kurve dem Sieg entgegensteuerst. Mit der Kart-eigenen Kamera, deren Aufnahmen auf deine Nintendo Switch-Konsole oder deinen Fernsehbildschirm übertragen werden, blickst du dem Fahrer über die Schulter.Die Rennstrecken, die du dir ausgedacht hast, führen wie durch Zauberhand durch verschiedene Landschaften: in den Dschungel, in tiefes Schneegestöber oder vorbei an gespenstischen Häusern. Es tauchen Piranha-Pflanzen und Steinblöcke auf, denen es auszuweichen gilt. Außerdem kannst du Gegenstände aus deiner Wohnung verwenden, um deine Rennstrecken aufzupeppen oder sie besonders anspruchsvoll zu machen.Wenn das Rennen in die heiße Phase geht, solltest du ein, zwei Items zur Hand haben, um dir den Sieg zu sichern. Viele altbekannte Helferchen aus der Mario Kart-Serie warten auf ihren großen Moment. Wenn du sie im Spiel einsetzt, beeinflusst das, wie sich dein Kart in echt verhält. Also los! Schnell durch eine Item-Box düsen und hoffen, dass was Gutes drin ist!Zusätzlich zu diesen Modi wie Grand Prix und Zeitfahren, kannst du aus verschiedenen Renngeschwindigkeiten auswählen: von locker-flockigen 50 ccm bis zu richtig rasanten 200 ccm!▪ TITEL: Mario Kart Live: Home Circuit▪ ENTWICKLER: Velan Studios▪ PUBLISHER: Nintendo▪ SYSTEM: Nintendo Switch▪ GENRE: AR-Racer▪ OFFIZIELLE SEITE: https://bit.ly/3lQyDXm▪ DEUTSCHLAND RELEASE: 26.10.2020▪ METASCORE: 74%▪ HASHTAGS: #MarioKart, #MarioKartLive, #MarioKartLiveHomeCircuit"
"-VcV4UCzwKE","BMW M2 CS | Endlich Vollgas | Matthias Malmedie","2020-10-17T10:00:00Z","UC8xqBQRIXKcnxU4yDu6X07A","Matthias Malmedie","2","20.18.10","Matthias Malmedie|BMW|BMW M5|bmw m5 competition|Review|Testfahrt|Test|Vergleich|Top Speed|VMax|Auto Check|QLMD|Qualmedie|Auspuff|Fahrwerk|Racing|Race|Bmw m2 cs|bmw m2 cs endlich vollgas","206598","9868","209","731","https://i.ytimg.com/vi/-VcV4UCzwKE/default.jpg","False","False","Endlich habe ich die 2000 Kilometer geknackt und der M2 ist damit offiziell eingefahren. Das heißt, ab zur Einfahrkontrolle und danach kann eskaliert werden. Außerdem erzähle ich euch noch, warum es für mich nur ein Schaltgetriebe sein konnte.------YouTube Kanal abonnieren: https://bit.ly/2WYY0d5-----Hier gibts die coolen QLMD - Klamotten von Matthias: https://www.qualmedie.com-----Daily Updates gibts hier:Instagram: https://www.instagram.com/matthiasmal...Facebook: https://www.facebook.com/qualmedie/------#QLMD #Malmedie #Qualmedie"
"gbYC3hh6qVw","Niederlage für Gosens – Neapel überrollt Bergamo | Neapel – Bergamo 4:1 | Serie A | Highlights","2020-10-17T16:32:43Z","UCtVGz_YSk4rkm08A-PljEdg","BILD FUSSBALL international","17","20.18.10","ASMI International|Analytics International|Bild Fussball|Serie A|Serie A 2020/21|Serie A Highlights|4. Spieltag|SSC Neapel|Neapel|Napoli|Atalanta Bergamo|Atalanta|Bergamo|Neapel Bergamo|Neapel Bergamo Highlights","36175","830","23","42","https://i.ytimg.com/vi/gbYC3hh6qVw/default.jpg","False","False","Der deutsche Nationalspieler Robin #Gosens hat mit #AtalantaBergamo die erste Saison-Niederlage in der italienischen #SerieA hinnehmen müssen. Der Champions-League-Teilnehmer unterlag am Samstag nach zuvor drei Siegen aus drei Spielen beim #SSCNeapel deutlich mit 1:4 (0:4). Nach seinen Einsätzen für die DFB-Auswahl wurde Gosens nach 81 Minuten ausgewechselt. Bei Neapel kam der Ex-Leipziger Diego Demme spät in die Partie (83. Minute).Der Mexikaner Hirving Lozano mit einem Doppelpack (23./27. Minute), Matteo Politano (30.) und der Ex-Wolfsburger Victor Osimhen (43.) trafen für Neapel, dem Niederländer Sam Lammers gelang das einzige Tor für die Gäste (69.). Neapel liegt in der Tabelle trotz nun drei Siegen weiter hinter Bergamo. Die Süditaliener waren Anfang Oktober wegen zwei Corona-Fällen im Team nicht zum Spitzenspiel bei Juventus Turin angetreten und mit einer 0:3-Niederlagen am grünen Tisch sowie einem Abzug von einem weiteren Punkt bestraft worden. Der Club hat gegen die Entscheidung des Sportgerichts Einspruch eingelegt.1:0: Hirving Lozano, 23.2:0: Hirving Lozano, 27.3:0: Matteo Politano, 30.4:0: Victor Osimhen, 43.4:1: Sam Lammers, 69."
"FP8rOdPG3dw","Werner & Havertz mit Premierentoren | FC Chelsea - FC Southampton 3:3 | Highlights - Premier League","2020-10-17T18:41:21Z","UCuOwl-VgqBHOzR8hWnonBcA","Sky Sport HD","17","20.18.10","sky|sky sport hd|highlights|sky highlights|Premier League|Premier League 2020/21|Premier League Highlights|Fußball Highlights|Highlights Englische Liga|Premier League Sky|Sky Highlights|Sky Fußball|EPL Highlights|EPL2020/21|Highlights|FC Chelsea|Chelsea|chelsea fc|chelsea london|Blues|FC Southampton|Southampton|southampton fc|Chelsea Southhampton|Premiere League 5. Spieltag|EPL2020/21-5.|Timo Werner|Kai Havertz|Danny Ings|Che Adams|Jannik Vestergaard","388848","9103","107","606","https://i.ytimg.com/vi/FP8rOdPG3dw/default.jpg","False","False","▶▶ Alle Premier League Spiele live: https://zly.de/sky/PL202021 Viel Spaß mit den Highlights des Spiels FC Chelsea gegen FC Southampton am 5. Spieltag der Premier League auf Sky Sport HD!Tore: 1:0 Werner (15.), 2:0 Werner (29.), 2:1 Ings (43.), 2:2 Adams (57.), 3:2 Havertz (59.), 3:3 Vestergaard (90.+2) ▶▶ Aktuelle Sport-News & Videos jetzt auf: https://sport.sky.de/Kostenlos unseren YouTube-Kanal abonnieren: https://zly.de/sky/YTsubFacebook - Sky Sport DE: https://zly.de/sky/facebookFacebook - Sky Sport News HD: https://zly.de/sky/facebookSSNHDTwitter - Dein Sky Sport: https://zly.de/sky/twitterSky abonnieren: https://zly.de/sky/TVabo"
