video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"mLxd2eU9L8o","(Eng sub) [환불원정대] 환불원정대 쇼! 음악중심 데뷔 무대! (Hangout with Yoo - refund sisters)","2020-10-17T10:45:03Z","UCx6jsZ02B4K3SECUrkgPyzg","놀면 뭐하니?","24","20.18.10","유재석|김태호|무한도전|유플래시|유산슬|뽕포유|라섹|유르페우스|놀면 뭐하니|놀뭐|무도","4806924","186258","2833","24745","https://i.ytimg.com/vi/mLxd2eU9L8o/default.jpg","False","False","★★★More 'Hangout with Yoo' clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/hangoutwithyoo/vod/WAVVEhttps://www.wavve.com/player/vod?programid=M_1004711100000100000&page=1"
"i-VPKzYmpME","[환불원정대] Don't touch me 안무영상 By AIKI","2020-10-17T13:34:39Z","UC2jHhn8GMouSKUiauOsiR3w","Aiki아이키릿","24","20.18.10","[none]","1240662","33993","936","4156","https://i.ytimg.com/vi/i-VPKzYmpME/default.jpg","False","False","환불원정대 - Don't touch meChoreo by AIKI (with HOOK)#아이키 #AIKI #DANCE #환불원정대 #놀면뭐하니 #돈터치미 #나쁜여자 #수트댄스 #국내힙합 #힙합 #방송댄스 #케이팝 Instagram : https://www.instagram.com/aiki_kr/Tiktok : https://www.tiktok.com/@aiki_kr/Info : heyin7412@naver.com"
"CX8GpnlTUoo","어몽어스 에어팟 만들기","2020-10-18T01:37:05Z","UCd4FmcWIVdWAy0-Q8OJBloQ","사나고 Sanago","26","20.18.10","사나고|3D펜|3Dpen|만들기|making|3d프린터|3Dprinting|어몽어스","908777","43398","501","7447","https://i.ytimg.com/vi/CX8GpnlTUoo/default.jpg","False","False","● 3D펜 사나고 샵https://smartstore.naver.com/sanago● 인스타그램https://www.instagram.com/sanago_kr/● 3D펜카페 [사나고의 3D펜 비밀기지]https://cafe.naver.com/sanago● Contact 광고문의uggnll@naver.com각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,CONTENTSFLY에서 제작되었습니다.https://www.contentsfly.com      #사나고 #3Dpen #3D펜"
"P2ZMu1eUtYQ","무가 병원에 다녀왔다","2020-10-17T12:13:52Z","UCOp66Vup07X0YziXaaxqs2A","haha ha","15","20.18.10","[none]","520808","0","0","6977","https://i.ytimg.com/vi/P2ZMu1eUtYQ/default.jpg","False","True","10월8일 무의 상태가 이상하여 병원에 다녀왔습니다.복막염이라는 진단을 받았고 치료가 어려울 수 있다는 결과를 들었습니다.그리고 일주일 후 재검사를 통해 호전 가능성이 있다는 결과를 다시 받았습니다. 완치 후에 영상으로 알려드리려 했으나 치료가 길어질 것 같고 완치를 장담할 수 없기에 미리 알려드리기로 했습니다. 무의 상태는 추후에 다시 알려드리겠습니다."
"z8tHmk_Ralk","국산연어 먹다 고래회충까지 먹었는데 저 어떡하죠?","2020-10-17T11:00:11Z","UCIUfR-2qcpWqgAIfZJXOLWA","수빙수tv sooBingsoo","22","20.18.10","국산연어|노르웨이연어|자연산연어|양식연어|연어회|연어초밥|salmon","1331763","17607","1293","3459","https://i.ytimg.com/vi/z8tHmk_Ralk/default.jpg","False","False","국산연어(자연산) 구매처 : 황실푸드오비라거 구매처 : 이마트*수산물의 시세는 매일 달라질 수 있습니다.*광고 또는 협찬 표시가 없을 시 직접 사비구매한 상품입니다."
"01iz9kmvbxg","[선공개] 리사(LISA)의 ⚡️업그레이드된 태국 춤 = '게 춤'♪ (point. 무표정😶) 아는 형님(Knowing bros) 251회","2020-10-17T00:43:37Z","UCOHM2N1YQdb-cHWxJxwBMLQ","아는형님 Knowingbros","24","20.18.10","아는 형님|형님|형님 학교|블랙핑크|제니|지수|로제|리사|선공개|태국춤|게춤|업그레이드|댄스|춤|댄스수업|BLACKPINK|JISOO|JENNIE|ROS&Eacute;|LISA|예능|슈퍼주니어|버즈|Knowing bros|Knowing brother|min kyung hoon|kim hee chul|kang ho dong|seo jang hoon|lee soo geun|kim young chul|lee sang min|buzz|superjunior","6889566","464365","7586","22506","https://i.ytimg.com/vi/01iz9kmvbxg/default.jpg","False","False","[선공개] 리사의 ⚡️업그레이드된 태국 춤 = '게 춤'♪ (point. 무표정😶)#아는형님 #블랙핑크 #리사"
"DqZiHGt2Pgc","'표현의 자유' 가르친 프랑스 교사, 길거리에서 참수당해 '충격' / YTN","2020-10-17T11:08:52Z","UChlgI3UHCOnwUGzWzbJ3H5w","YTN news","25","20.18.10","YTN|뉴스|국제","2495686","18424","529","10930","https://i.ytimg.com/vi/DqZiHGt2Pgc/default.jpg","False","False","프랑스 중학교 역사교사, 길거리에서 참수당해체첸 출신 18살 용의자, 경찰 총에 맞아 숨져마크롱, 이슬람 극단주의 테러에 대한 연대 촉구[앵커]프랑스에서 역사수업 시간에 이슬람교 창시자 무함마드를 풍자한 만평을 보여준 교사가 길거리에서 무참하게 살해돼 큰 충격을 주고 있습니다.'표현의 자유'를 가르친 교사에 대한 이슬람 극단주의자의 끔찍한 테러에 프랑스 사회가 분노하고 있습니다.이교준 기자의 보도입니다.[기자]파리 북서쪽 콩플랑 생토노린의 한 거리.현지 시각 16일 오후 5시쯤 무참하게 살해당한 중학교 역사교사 사뮤엘 프티의 시신이 발견된 현장입니다.용의자는 흉기를 들고 달아나다 현장에서 경찰의 총에 맞아 숨졌습니다.용의자는 체첸 출신의 18살 남성으로 현장에서 신은 가장 위대하다는 뜻의 쿠란 구절을 외친 것으로 전해졌습니다.사건 현장을 방문한 마크롱 대통령은 이번 사건을 테러로 규정하고, 이슬람 극단주의 테러에 함께 맞설 것을 촉구했습니다.[에마뉘엘 마크롱 / 프랑스 대통령 : 교사가 학생들에게 표현의 자유를 가르쳤다는 이유로 살해됐습니다. 우리의 동지가 이슬람 테러의 희생자가 됐습니다.]프티 교사는 이달 초 표현의 자유를 주제로 역사수업을 진행하면서 선지자 무함마드를 풍자한 주간지 샤를리 에브도의 만평을 보여준 것으로 전해졌습니다.또 문제의 만평을 보여주기 전에 이슬람교 학생들에게 불쾌할 수 있으니 교실을 떠나도 된다고 배려한 것으로 알려졌습니다.하지만 몇몇 학부모는 소셜 미디어에 교사에 대한 불만을 표현하며 강하게 반발했습니다.[노르딘 차오와디 / 학부모 : 이슬람교인인 내 아들이 그 수업에 있었는데 역겹고 실망스러웠다고 합니다. (전에만 해도) 아들은 그 교사를 좋아했고 매우 멋지고 유쾌한 교사라고 말했거든요.]경찰은 용의자가 소셜 미디어를 통해 이 소식을 접한 뒤 범행을 계획한 것으로 보고 학부모도 체포해 조사하고 있습니다.프랑스에서는 몇 년째 이슬람 극단주의자들의 테러 공격이 잇따르고 있습니다.지난 2015년 1월 프랑스 주간지 샤를리 에브도는 무함마드를 풍자하는 만평을 실었다가 이슬람교 극단주의자의 총기 테러를 당해 편집장과 작가 등 12명이 숨졌습니다.지난달 말에는 파키스탄 출신 한 남성이 샤를리 에브도의 옛 사옥 인근에서 흉기를 휘둘러 2명이 다쳤습니다.이슬람 극단주의 테러의 공포는 급기야 프랑스 교육현장에까지 퍼지고 있습니다.YTN 이교준[kyojoon@ytn.co.kr]입니다.▶ 기사 원문 : https://www.ytn.co.kr/_ln/0104_202010172001078564▶ 제보 안내 : http://goo.gl/gEvsAL, 모바일앱, social@ytn.co.kr, #2424▣ YTN 유튜브 채널 구독 : http://goo.gl/Ytb5SZⓒ YTN & YTN plus 무단 전재 및 재배포금지"
"GywDFkY3z-c","LEE SUHYUN - ‘ALIEN’ M/V","2020-10-16T09:00:02Z","UCIcXK1CI8URMIqNO_1cehiQ","AKMU","10","20.18.10","YG Entertainment|YG|와이지|K-pop|악동뮤지션|악뮤|AKDONG MUSICIAN|AKMU|이찬혁|이수현|Lee Chanhyuk|Lee Suhyun|찬혁|수현|Chanhyuk|Suhyun|ALIEN|LEE SUHYUN ALIEN|수현 ALIEN|이수현 ALIEN","3944435","492272","3660","22940","https://i.ytimg.com/vi/GywDFkY3z-c/default.jpg","False","False","LEE SUHYUN – ‘ALIEN’My mama told me I'm ALIEN사실 넌 저 먼 별나라에서 왔어You in that planet used to be a champion금메달까지 딴 일등 선수였어점점 잘나고 커진 널더 이상 담을 수 없었던 행성따뜻한 물에서 수영하는 걸좋아했던 널 내가 데려온 거야네게 특별한 힘이 있단 걸 알게 했으니난 약해지고 넌 점점 더 강해지겠지A A AA AAA AN ALIENA A AA AAA AN ALIEN깊고 아득한 어둠 속비밀처럼 태어난A A AA AAA AN ALIENMy mama told me I'm ALIEN넌 이 판을 뒤집기 위해서 왔어누군가 너의 기억을 지워모든 걸 방해하는 거야 You listen up점점 가둬둘 수 없을 정도로 커져가는 너의 힘과 목소리행성은 널 주목하고 있어Now you ready for this준비가 다 된 거야네게 특별한 힘이 있단 걸 알게 했으니이젠 너에게 주어진 답이 있겠지A A AA AAA AN ALIENA A AA AAA AN ALIEN깊고 아득한 어둠 속비밀처럼 태어난A A AA AAA AN ALIEN베일 뒤에 숨을 필요 없어 ALIENTell them who who Tell them who you누구든 내가 누군지 묻는다면망할 이 지구를 구원할 ALIENA A AA AAA AN ALIENA A AA AAA AN ALIEN깊고 아득한 어둠 속비밀처럼 태어난A A AA AAA AN ALIENMore about AKMU @http://www.yg-akmu.com/http://www.youtube.com/officialAKMUhttps://www.facebook.com/officialAKMUhttp://twitter.com/ygent_official#이수현 #LEESUHYUN #1stSingle #ALIEN #MV #20201016_6pm #OutNow #YG"
"o2PK6sUEPe4","[1회/풀버전] 릴보이 @1차 예선 Full ver.","2020-10-16T15:59:54Z","UCepUWUpH45hRTi-QePdq1Bg","Mnet Official","24","20.18.10","쇼미더머니9|SMTM9|SHOW ME THE MONEY 9|엠넷|Mnet|릴보이","847337","10228","317","2321","https://i.ytimg.com/vi/o2PK6sUEPe4/default.jpg","False","False","[1회/풀버전] 릴보이 @1차 예선 Full ver.WHO IS THE NEXT YOUNG BOSS? ＜쇼미더머니9＞ 매주 금요일 밤 11시 본방송"
"mdJp9Ptt9Hs","브롤 토크: 전설 등급 브롤러, 브롤로윈 그리고...?! [브롤스타즈]","2020-10-17T08:00:15Z","UClJspSpzADMROqOW9HLHaoA","브롤스타즈","20","20.18.10","브롤스타즈|슈퍼셀|업데이트|할로윈|브롤러윈|10월|신규 브롤러|브롤러|전설|brawl stars|supercell|update|halloween|brawl-o-ween","165281","4355","149","2178","https://i.ytimg.com/vi/mdJp9Ptt9Hs/default.jpg","False","False","한 달만에 브롤 토크가 다시 돌아왔습니다.새로이 등장하는 전설 등급 브롤러, 어느 때보다 풍성한 브롤로윈 그리고...?!가장 빠른 업데이트 내용을 지금 10월 브롤 토크에서 확인해보세요!지금 다운로드 받으세요 👉 https://supr.cl/BrawlStarsKR브롤스타즈 Youtube 🔗 https://www.youtube.com/channel/UClJs...브롤스타즈 공식 카페 🔗 https://cafe.naver.com/brawlstars브롤스타즈 Facebook 🔗 https://www.facebook.com/BrawlStarsKo...브롤스타즈 Instagram 🔗 https://www.instagram.com/brawlstars_... 브롤스타즈 Tik Tok 🔗 https://www.tiktok.com/@brawlstars_korea#브롤스타즈 #브롤토크 #브롤로윈"
