video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"VvuWEA76VCE","БЕРЕМЕННА В 16. РОССИЯ | 3 СЕЗОН, 3 ВЫПУСК | ЛЮБОВЬ, УФА","2020-10-17T18:00:03Z","UCw25DrmfCz5_yy_Hk1sTQKQ","Телеканал Ю","24","20.18.10","канал ю|телеканал ю|ю|ю тв|ю телеканал|ю канал|реалити|реалити шоу|шоу|беременна в 16|модель xl|измены|телеканал|беременность|беременна в 16 новая серия|беременна в 16 3 сезон 3 выпуск|беременна в 16 третий выпуск|беременна в 16 новый выпуск|беременна в 16 3 сезон 3 серия|беременна в 16 3 выпуск|шоу беременна в 16|беременна в 16 третий сезон|юлик|ильдар|кузьма|обзор|пародия|приятный ильдар|реакция|беременна в 16 3 сезон|реакт на беременную|Уфа|Башкортостан","1242137","35074","5475","10962","https://i.ytimg.com/vi/VvuWEA76VCE/default.jpg","False","False","Любе 17, она считала, что у них с Артуром все серьезно. Они встречались почти год, часто оставались друг у друга с ночевкой и жили практически как семья… поэтому и не предохранялись. Думали, что пронесет. Но нет. И когда Люба узнала, что беременна, ее 15-летний возлюбленный пропал...Кастинг в проект Беременна в 16:  https://www.u-tv.ru/castings/vserossiyskiy-kasting-na-2-y-sezon-realiti-beremenna-v-16/Сайт телеканала: https://www.u-tv.ru/Вконтакте: https://vk.com/uchannelrussiaИнста: https://www.instagram.com/uchannelrussia/Канал реалити Измены:https://www.youtube.com/channel/UCODGZJRHLzPUfx-qP-NkbNwБеременна в 16:https://vk.com/beremenna16uhttps://www.instagram.com/beremenna_v16_/Модель XL:https://vk.com/modelxlrussiahttps://www.instagram.com/_model_xl/Я стесняюсь своего тела:https://www.instagram.com/telo_russia/https://vk.com/yasstrussiaНаш канал теперь в TikTok 🔥:https://www.tiktok.com/@uchannelrussiaСамые свежие новости из мира шоу-бизнеса, а также рецепты читайте на нашем канале в Яндекс.Дзен:https://zen.yandex.ru/uchannelrussia"
"LS6DD1rscNw","Кто Первый Выберется Из Непробиваемого Ящика ! - Челлендж **3 часть**","2020-10-17T09:02:13Z","UC2tsySbe9TNrI-xh2lximHA","A4","24","20.18.10","Кто Первый Выберется Из Непробиваемого Ящика! Челлендж **3 часть**|Кто Первый Выберется Из Непробиваемого Ящика|Кто Первый Выберется из Ящика|непробиваемый ящик|КТО ПЕРВЫЙ ОСВОБОДИТСЯ|Кто первый тот получит|КТО ПЕРВЫЙ|КТО ПЕРВЫЙ ВЫБЕРЕТСЯ|кто первый освободится из ящика|кто первый освободится из коробки|кто последний|кто последний тот проиграет|страшный клоун|клоун|клоун а4|а4 клоун|а4 страшный клоун|челлендж|Влад Бумага|Влад А4|А4","11915612","1414646","21802","109422","https://i.ytimg.com/vi/LS6DD1rscNw/default.jpg","False","False","Покупай новый Мерч А4 «Ламба&Гелик» на сайте - https://a4shop.ruМоя НОВАЯ ИГРА «А4 - Убеги от хейтеров» по ссылке - https://runawaychallenge.onelink.me/PmE5/b4c196deКанал ГЛЕНТА - https://bit.ly/2Gwxge4Качай МОЁ приложение «А4 Головоломки» по ссылке - https://a4logic.by/goКачай еще одно МОЁ приложение “А4 Колесо фортуны” по ссылке - https://a4roulette.onelink.me/v63S/go *****В этом ролике мы будем заперты в четырех непробиваемых ящиках из различных материалов: 100 слоев журналов, матрасов, автомобильных покрышек и стальной арматуры !!! Клоун будет играть с нами в различные челленджи и выдавать нам инструменты которыми мы должны будем выбраться из непробиваемых ящиков !!! Кто выберется первым, а кто последним ???Этот ролик получился ОЧЕНЬ ИНТЕРЕСНЫМ и СМЕШНЫМ !!! Смотри ДО КОНЦА и поддержи нас ЛАЙКОМ !!!*****● Instagram - https://www.instagram.com/a4omgПОДПИСЫВАЙСЯ ЧТОБЫ УВЕЛИЧИТЬ МОЮ САМООЦЕНКУ !) ▶️ РЕКЛАМА, СОТРУДНИЧЕСТВО: a4a4a4a4pr@gmail.com▶️ПРОШЛОЕ ВИДЕО - https://youtu.be/paIhSg1sTYI● Моя партнерская сеть MediaCube :  http://bit.ly/A4_mcn● Instagram - https://www.instagram.com/a4omg● VKontakte: https://vk.com/id240651878● Паблик VK : https://vk.com/a4_tv● TikTok - https://vm.tiktok.com/qwHt6j/"
"avSbBp-G8fs","ВЗЛОМ ГОРЕ РЕСТАВРАТОРА","2020-10-18T08:37:43Z","UCsJR1qQDNyFvsX_9_bNM63A","Доктор Дью","23","20.18.10","DIY|самоделки|сделай себе|wow|топ самоделок|инструмент|у каждого|своими руками|полезный инструмент|простое|интересный|крутая идея|Как сделать|в домашних условиях|how to make","482686","59987","2007","4913","https://i.ytimg.com/vi/avSbBp-G8fs/default.jpg","False","False","Качай Raid: Shadow Legends бесплатно ✅ IOS: https://clik.cc/WkEoW ✅ Android: https://clik.cc/jnAmG ✅ PC: https://clik.cc/J7COo и получи специальный стартовый пакет💥 доступный только следующие 30 дней!Сцылка для поддержать праэгт:https://www.donationalerts.com/r/pit_stopБложик переехал сюда:https://www.youtube.com/user/pitstopsakiОсновной канал:https://www.youtube.com/user/masterpitstopЛичная страница:https://vk.com/by_pit_stopИнстаграм:https://www.instagram.com/by_pit_stop/Для коммерческих предложений:pit_stop_saki@mail.ru"
"VOAxOXMXpY4","НАПАДЕНИЕ МЕДВЕДЯ! ВЫЖИВШИХ ВЕЩЕЙ НЕТ! РАЗОДРАЛ ВСЁ! ПАЛАТКУ, БАНЮ! ВСЕ ВЕЩИ! НЕ ОСТАЛОСЬ НЕ ЧЕГО.","2020-10-18T07:15:01Z","UCBpeYNfLtLMuxBYeQTeeuog","Всё из за Метало Копа","19","20.18.10","дикие места|заруба|нетронутая тайга|места гулага|нереальная|все из за метало копа|гулаг|схрон заключенных|секретное место|зона|колония|заброшеная зона|металокоп|дикая тайга|путешествие в тайгу|глухая тайга|изба|изба в лесу|приключения|нашел|находка|один в тайгу|коп в тайге|ночной|коп|ночной коп|коп в лесу|поиск металлолома|места для копа|металлоискатель|металлокоп|поиск металлолома на поле|коп металлолома|металлолом|чермет|железо|медведь|напал медведь","336773","29871","655","5231","https://i.ytimg.com/vi/VOAxOXMXpY4/default.jpg","False","False","Нападение медведя на базовый лагерь, выживших вещей нет!"
"aETEDgDpRlA","АНЯ POKROV - Парень из села (Премьера клипа / 2020)","2020-10-17T11:00:10Z","UCzKJ5CGa4PDB2UgUw0vKKYA","Dream Team House","10","20.18.10","АНЯ POKROV - Парень из села|аня покров парень из села|парень из села|АНЯ POKROV - НЕ ИГРА В СИМС|Аня Покров|аня покров песня|покров|покров 90|покров 90 тик ток|не игра в симс|pokrov90|pokrov90 песня|pokrov тик ток|премьера трека|премьера трека 2020|премьера клипа|премьера клипа 2020|премьера|трек|трек аня покров|песня аня покров|песня покров|песня покров 90|дрим тим хаус|dream team house","1522239","171085","5997","6620","https://i.ytimg.com/vi/aETEDgDpRlA/default.jpg","False","False","7DAYS патчи Street Design, носи 24/7 - https://www.wildberries.ru/catalog/0/search.aspx?search=7days%20street7DAYS тканевые маски для лица на каждый день недели - https://www.wildberries.ru/catalog/7787140/detail.aspx?targetUrl=ES⭐️ Слушай и скачивай трек: https://band.link/parenizsela⭐️ Трек в ТикТоке: https://vm.tiktok.com/ZSaoRwJb/► Аня ПокровВК: https://vk.com/pokrovskaya_oneЮтуб канал: https://www.youtube.com/channel/UCXkqdE4Yi50wdMo5dlLfnNQ?sub_confirmation=1Инстаграм: https://www.instagram.com/POKROV90ТикТок: https://www.tiktok.com/@POKROV?lang► Артур Бабич ВК: https://vk.com/artur__babichЮтуб Канал: https://www.youtube.com/channel/UCa5GHJVSH0s6YlJXU6YlGaw?sub_confirmation=1ТикТок: https://www.instagram.com/BA.BITCH_Инстаграм: https://www.tiktok.com/@BA.BICH_?langExecutive Producer: Savva Kabatskiy (@savvakabatskiy)Producer Assistant: Julia ChernovaDirector: WaitingfortheendDOP: Aleksey NovikovProduction designer: Elena LavyrStyle: Masha DresserStylist Assistant: Alexandra FransovaMUAH: Zemfira AhmedovaHair assistant: Valeria KrikunenkoEditor&VFX: Vladimir RonamiColor: Andrey HudyakovSound design: Pavel ZhigarevTitle design: Jenya SimakovFPV drone: Emil KhazievGaffer: Firdavs BobonazarovFocus Puller: Marta RerixAssistant Director: Elizaveta IvanovaCast: Dream Team HousePhoto Backstage: Serafima Shkanova & Artem BerdochkinVideo Backstage: Alexander BarabanovHelpers: Nikolay Kondrashov, Dmitriy Belyi, Daria SolokhinaSpecial Thanks to:Alex Kalkaev, Konii Klub Luzhki, Max Kudryavtsev, Dmitriy Dochkin⭐️ Dream Team House - ДОМ, В КОТОРОМ ЖИВУТ ТИКТОКЕРЫ⭐️⭐️ Dream Team Family: https://www.youtube.com/channel/UC_5WQxfSgDfzLNjRB8aN_Tg?sub_confirmation=1⭐️ ТИК ТОК  https://vm.tiktok.com/7QaJPA/⭐️ ИНСТАГРАМ https://instagram.com/dream_team_house⭐️ Наш игровой канал для Стримов: https://www.youtube.com/channel/UCMpwYbwjCommulwGZgoVbuA⭐️ Наш Твич канал: https://twitch.tv/dream_team_gamesПо вопросам сотрудничества: reklama@dreamteamhouse.ru Пиар\СМИ: pr@dreamteamhouse.ru #пареньизселаАНЯ POKROV - Парень из села (Премьера трека / 2020)"
"9pYwNTRUKt8","БОЙ! Василий Ломаченко vs. Теофимо Лопес | Краткий итог Боя","2020-10-18T05:34:15Z","UCyjp_5Rp6jNvFtBE3gEX2ow","KrassboX","17","20.18.10","бокс|новости бокса|крассбокс|krassbox|бои|нокауты|полный бой|ломаченко|лопес|бой|василий ломаченко|теофимо лопес|ломаченко лопес бой|ломаченко лопес дата боя|ломаченко лопес когда бой|поединок|лома лопес|ломаченко лопес прямой эфир|ломаченко лопес|ломаченко лопес прогноз|ломаченко лопес разбор|прогноз на бой|василий ломаченко теофимо лопес|райан гарсия|прямая трансляция|смотреть|лома лопес бой|ломаченко лопес полный бой|ломаченко проиграл|лома поражение","491030","12680","1300","2510","https://i.ytimg.com/vi/9pYwNTRUKt8/default.jpg","False","False","►ЛУЧШИЕ В СВОЕМ ДЕЛЕ - KRASSBOX⚽ KrassFootball - https://clck.ru/GjT5t🥊  НАШ Telegram - https://teleg.run/krassbox_telegram🥊---------------------------- https://tlgrm.biz/mma_bokc🎞️ НАШ instagram - https://www.instagram.com/krassbox_official/🖊️ Мой ВК - https://vk.com/krasilnikov_1996🥊 Новости Бокса  ►В этом выпуске... ✔ ✔ ✔ ✔#Krassboxмузыка: armageddon - kiryanov prod. (искать в вк)"
"i_8UXksSUYg","Как СЛУШАТЬ МУЗЫКУ через МОЗГ**НАУШНИКИ С КОСТНОЙ ПРОВОДИМОСТЬЮ**","2020-10-18T09:00:03Z","UCBYvr4SqfGQd5fTmOXVQ4Zw","ГЛЕНТ","22","20.18.10","Как СЛУШАТЬ МУЗЫКУ через МОЗГ**НАУШНИКИ С КОСТНОЙ ПРОВОДИМОСТЬЮ**|СЛУШАТЬ ЧЕРЕЗ МОЗГ|НАУШНИКИ ЧЕРЕЗ КОСТЬ|КОСТНЫЕ НАУШНИКИ|КАК СЛУШАТЬ МУЗЫКУ ЧЕРЕЗ КОСТЬ|МУЗЫКА через кость|музыка через мозг|глент наушники|наушники обзор|наушники с костной проводимостью|костная проводимость|глент кость|глент канал|глент|глент а4","432414","59155","1163","8376","https://i.ytimg.com/vi/i_8UXksSUYg/default.jpg","False","False","В этом видео мы вам покажем как слушать музыку через КОСТЬ !!! Если быть точным - это наушники с костной проводимостью !!! То есть в уши ничего вставлять не надо, они прислоняются к скула и играют по КОСТЯМ !!!Скидка 12% на все наушники Aftershokz по промокоду ГЛЕНТ до 30.10.2020Купить в madrobots.ru: https://bit.ly/3nbQidF▶️ РЕКЛАМА, СОТРУДНИЧЕСТВО: glent@didenok.com▶️ПРОШЛОЕ ВИДЕО - https://youtu.be/jb8ZUtUKVdI● Instagram - https://www.instagram.com/vladglent/● TikTok - https://vm.tiktok.com/XRCYgY/● VKontakte - https://vk.com/vladglentМагазин с техникой: https://new-store.byГЛАВНЫЙ СМЫСЛ ЭТОГО РОЛИКА - ЧТОБЫ ВЫ ДОСМОТРЕЛИ ЕГО ДО КОНЦА И ПОДПИСАЛИСЬ !)"
"kjjU7-EAG2A","AMONG US в РЕАЛЬНОЙ ЖИЗНИ! Найди ПРЕДАТЕЛЯ, чтобы ВЫЖИТЬ!","2020-10-17T16:45:07Z","UCwipTluVS2mjuhPtx2WU7eQ","Дима Масленников","24","20.18.10","AMONG US|AMONG US в реальной жизни|амонг ас|AMONG US в РЕАЛЬНОЙ ЖИЗНИ|Найди ПРЕДАТЕЛЯ чтобы ВЫЖИТЬ|чтобы ВЫЖИТЬ|Найди ПРЕДАТЕЛЯ|НАЙТИ ПРЕДАТЕЛЯ|Дима Масленников|Масленников|Масленников Among|among us real life|челлендж|challenge|Эмиль|Великий Вася|Эксперимент|among us imposter|among us funny|выжить","1883793","528945","3872","22021","https://i.ytimg.com/vi/kjjU7-EAG2A/default.jpg","False","False","Зарабатывай с Яндекс.Про https://ya.cc/t/y0Gl5VC8Dn79vэто AMONG US в РЕАЛЬНОЙ ЖИЗНИ! Найди ПРЕДАТЕЛЯ, чтобы ВЫЖИТЬ! Это Дима Масленников и я решил поиграть в AMONG US в РЕАЛЬНОЙ ЖИЗНИ! Задача простая: Найди ПРЕДАТЕЛЯ, чтобы ВЫЖИТЬ! Among us разносит тренды и мы сами играем в эту игру и стало интересно реально ли также интересно играть в Among us в реальной жизни как и на компе? Кто выполнит челлендж Найди Предателя, чтобы ВЫЖИТЬ! Эмиль, Великий Вася или я... Дима Масленников...Подпишись:- Великий Вася: https://youtu.be/nRgK18i4Cqw- Эмиль: https://youtu.be/6df5l7FqyWw- Даник: https://www.instagram.com/daniro23/- Полина: https://www.instagram.com/polinasavekina/- Артем: https://www.instagram.com/chernetsart/Закажи шапку ГостБастер: https://www.instagram.com/maslo.shop/Приходи в Шаурму Здесь кто-нибудь ест?!: https://www.instagram.com/zke_shaurma/Смотри клип Здесь кто-нибудь есть?!: https://youtu.be/sdJEAHTvIcIПодпишись на меня в соц. сетях:INSTAGRAM - https://www.instagram.com/dima_maslen Группа в вк - https://vk.com/pognalishowTik-tok- https://vm.tiktok.com/QLwaf6/VK - http://vk.com/dima_maslen#amongus #пamongusвреальнойжизни #найдипредателя"
"pHWfZlVlmgM","ИТОГИ РОЗЫГРЫША ЛЕГЕНДАРНОГО МЕРИНА MORGENSHTERN (1 ЧАСТЬ)","2020-10-17T22:33:36Z","UCVnD4_E7lw_SSd8_KDB82oQ","GANG","24","20.18.10","РОЗЫГРЫШ|МЕРИН|MORGENSHTERN|ИТОГИ РОЗЫГРЫША|РЕЗУЛЬТАТЫ МЕРИН|МОРГЕНШТЕРН|Гив","353453","15681","1870","10215","https://i.ytimg.com/vi/pHWfZlVlmgM/default.jpg","False","False","Подводим итоги в прямом эфире! 2 ЧАСТЬ. ФИНАЛ https://youtu.be/tIys0LWHunkИНСТРУКЦИЯ!!! ЧТОБЫ ВЫИГРАТЬ МАШИНУ МОРГЕНШТЕРНА НУЖНО:1. ПОДПИСАТЬСЯ НА ИНСТАГРАМ:  https://instagram.com/smm.rfhttps://instagram.com/motorollasheff  2. ПОДПИСАТЬСЯ НА КАНАЛ https://www.youtube.com/c/ruvlog (https://www.youtube.com/c/ruvlog)3. НАПИСАТЬ В КОММЕНТАРИИ #ХОЧУТАЧКУМОРГЕНШТЕРНА И СВОЙ НИК В ИНСТАГРАММЕ4. ЖДАТЬ РЕЗУЛЬТАТОВ И НОВОСТЕЙ В НАШЕМ ИНСТАГРАММЕGANG:https://instagram.com/morgen_shternhttps://instagram.com/smm.rfhttps://instagram.com/motorollasheffhttps://instagram.com/slavamarlowРеклама +79999833339 (ANNA)https://instagram.com/av.rfСотрудничество - 8@smm.promo"
"hCsMq6S1S6k","Электроока с огромным двигателем от погрузчика, как поедет!?","2020-10-18T07:40:54Z","UCRFMpg5Q3Fko_Wdxh08yZ_g","Denis МЕХАНИК","2","20.18.10","Денис механик|электромобиль|электроока|электро ока|механик|ваз|ока|окуля|самокат|электросамокат|погрузчик|батарея|электротяга|проверка двигателя|разгон|тесла|емобиль|лиф|запрещенный электромобиль|гараж|водители|технология электромобиля","221465","23942","349","1413","https://i.ytimg.com/vi/hCsMq6S1S6k/default.jpg","False","False","Подобрать запчасть : https://retail.masuma.ru/Подробнее про Гарантию Masuma : https://masuma.ru/section/garantiiaТяга рулевая артикул MR-6650Салентблоки  RU-560, RU-558, RU-115Регулятор оборотов двигателя: http://ali.pub/5785r5Мой INSTAGRAM https://www.instagram.com/denismehanik/?hl=ru Мой 2й КАНАЛ  https://www.youtube.com/channel/UC6rJlbPrc07AnG4BYlciPoAProduction Music courtesy of Epidemic Sound www.epidemicsound.comДля коммерческих запросов: Denis.avtoservis@gmail.com"
