video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"mLxd2eU9L8o","(Eng sub) [환불원정대] 환불원정대 쇼! 음악중심 데뷔 무대! (Hangout with Yoo - refund sisters)","2020-10-17T10:45:03Z","UCx6jsZ02B4K3SECUrkgPyzg","놀면 뭐하니?","24","20.20.10","유재석|김태호|무한도전|유플래시|유산슬|뽕포유|라섹|유르페우스|놀면 뭐하니|놀뭐|무도","7566255","237247","4308","31374","https://i.ytimg.com/vi/mLxd2eU9L8o/default.jpg","False","False","★★★More 'Hangout with Yoo' clips are available★★★iMBChttp://www.imbc.com/broad/tv/ent/hangoutwithyoo/vod/WAVVEhttps://www.wavve.com/player/vod?programid=M_1004711100000100000&page=1","PT5M27S"
"GrDYOl1v68M","[런닝맨] 레전드 '3년 만의 완전체 출격! 레전드 찍은 블랙핑크' / 'RunningMan' BlackPink Special | SBS NOW","2020-10-19T09:21:05Z","UCcOYEm78CpaZQvPE6LtoSeA","SBS NOW / SBS 공식 채널","24","20.20.10","SBS Entertainment|예고|유재석|하하|송지효|김종국|이광수|지석진|전소민|양세찬|런닝맨|running man Preview|Yoo jae suk|Haha|Song jihyo|Kim jong kook|Lee kwang soo|Ji suk jin|Jeon so min|Yang se chan|블랙핑크|블랙핑크런닝맨|제니|지수|로제|리사|LovesickGirls","2288397","124781","1142","6221","https://i.ytimg.com/vi/GrDYOl1v68M/default.jpg","False","False","525회차 - '블랙핑크 in RUNNINGMAN'3년 만의 완전체 출격!레전드 찍은 👑블랙핑크👑런닝맨🏃🏻🏃🏻‍♀️🏃🏻‍♂️‬☞ 매주 일요일 오후 5시 본방송#런닝맨 #블랙핑크 #BlackPink▶ Subscribe NOW! SBS NOW!  https://bit.ly/2YRf9Kn▶ Homepage :  https://programs.sbs.co.kr/enter/runningman/▶ Facebook :  https://www.facebook.com/sbsnow/▶ Instagram : https://www.instagram.com/sbsnow_insta/","PT25M55S"
"UB4FzllQCyc","SEVENTEEN (세븐틴) 'HOME;RUN' Official MV","2020-10-19T09:00:00Z","UC3IZKseVpdzPSBaWxBxundA","Big Hit Labels","10","20.20.10","에스쿱스|정한|조슈아|준|호시|원우|우지|디에잇|민규|도겸|승관|버논|디노|SCOUPS|JEONGHAN|JOSHUA|JUN|HOSHI|WONWOO|WOOZI|THE 8|MINGYU|DK|SEUNGKWAN|VERNON|DINO|세븐틴|SEVENTEEN|セブチ","10284703","1009662","6551","212106","https://i.ytimg.com/vi/UB4FzllQCyc/default.jpg","False","False","SEVENTEEN (세븐틴) 'HOME;RUN' Official MV세븐틴의 이번 앨범 ‘; [Semicolon]’은 미니 7집 ‘헹가래’를 통해 이야기한 ‘청춘’을 향한 응원의 메시지를 다시금 공유하면서 한 발짝 더 나아가 쉼 없이 달리는 청춘에게 ‘잠깐 쉬어가며 청춘의 향연을 즐기자’라는 더욱 성숙한 긍정의 메시지를 전하는 앨범이다.현 시대를 살아가며 고군분투 하고 있는 청춘들에게 잠시나마 ‘숨 고를 시간’, ‘함께 웃으며 즐길 수 있는 시간’을 문장을 잠시 끊었다가 이어서 설명을 계속할 때 쓰이는 문장 부호인 ‘Semicolon(세미콜론)’ 에 비유, 동시대 청춘으로 살아가는 “세븐틴” 그들의 공감을 전하는 메시지를 앨범에 가득 담아내어 청춘들을 어루만질 따뜻한 위로와 응원, 공감을 주는 희망의 외침을 전한다.타이틀곡 ‘HOME;RUN’은 스윙 장르 기반의 레트로한 사운드가 돋보이는 곡으로 경쾌하고 타격감 넘치는 사운드로 ‘HOME RUN’이라는 표현이 지닌 짜릿함을 표현하였고, 무한한 성장을 지닌 청춘에게 힘찬 응원과 위로의 목소리를 선사한다.SEVENTEEN’s new album ‘; [Semicolon]’ is an album where they share the encouraging message for the ‘youth’ like they did in their 7th mini album ‘Heng:garæ’ and also the positive message that ‘we should all take a break and enjoy the youth’ with the youth that are running towards their goals without any breaks.‘Semicolon,’ which is a punctuation mark used when you pause a sentence and then resume again, is used as a metaphor to portray the ‘time to take a breath’ and ‘time to laugh and enjoy together.’ “SEVENTEEN,” as the youth who are living in the same time period as the other youth who are fighting alone and struggling through their lives, uses this metaphor to convey their hopeful and empathic message through the album to comfort and cheer for the youth.The title song ‘HOME;RUN’ is a song based on swing genre where the retro-like sound stands out, and it portrays the excitement that the phrase ‘HOME RUN’ conveys with cheerful and rhythmical sound. It conveys powerful support and comfort to the youth with limitless potentials.#SEVENTEEN #세븐틴#Semicolon #세미콜론#HOME_RUNSEVENTEEN Official Homepage : http://www.seventeen-17.comSEVENTEEN Official Facebook : https://www.facebook.com/seventeennewsSEVENTEEN Official Twitter : https://twitter.com/pledis_17SEVENTEEN Official Instagram : http://www.instagram.com/saythename_17SEVENTEEN Official Fancafe : http://cafe.daum.net/pledis-17SEVENTEEN Official Weverse : https://www.weverse.io/seventeenⓒ Pledis Entertainment. All Rights Reserved","PT3M35S"
"i-VPKzYmpME","[환불원정대] Don't touch me 안무영상 By AIKI","2020-10-17T13:34:39Z","UC2jHhn8GMouSKUiauOsiR3w","Aiki아이키릿","24","20.20.10","[none]","2333569","47719","2093","7123","https://i.ytimg.com/vi/i-VPKzYmpME/default.jpg","False","False","환불원정대 - Don't touch meChoreo by AIKI (with HOOK)#아이키 #AIKI #DANCE #환불원정대 #놀면뭐하니 #돈터치미 #나쁜여자 #수트댄스 #국내힙합 #힙합 #방송댄스 #케이팝 Instagram : https://www.instagram.com/aiki_kr/Tiktok : https://www.tiktok.com/@aiki_kr/Info : heyin7412@naver.com","PT3M43S"
"aIO4oKgmE6M","[에디터's 꿀잼Pick] 벌써 동생바버♥ 올망졸망 X 꽁냥꽁냥 ☆#찐건나블리☆","2020-10-18T23:37:08Z","UC3m0s5XAQydCtbLHc8j1Uog","KBS 한국방송","24","20.20.10","KBS|한국방송공사|mylovekbs|예고|티저|건후|나은|건나블리|박주호|슈돌|슈퍼맨이돌아왔다|The Return of Superman|윌벤져스|윌리엄|벤틀리|건나파블리|찐건나블리|건나블리 컴백|건나블리 컴백 예고","1580788","26704","289","1431","https://i.ytimg.com/vi/aIO4oKgmE6M/default.jpg","False","False","애깅이가 애깅이를 어여뻐라 하는 세젤귀 상황ㅠ#슈돌 #슈퍼맨이돌아왔다 #건나블리","PT2M51S"
"6cRt1xoi-w4","미스터트롯 더 무비 온라인 제작 보고회","2020-10-19T06:25:44Z","UCskIKQGpjI5sG2ZLtWLYSmw","미스&미스터트롯 공식계정","22","20.20.10","[none]","531606","26311","629","3215","https://i.ytimg.com/vi/6cRt1xoi-w4/default.jpg","False","False","","PT1H7M16S"
"CX8GpnlTUoo","어몽어스 에어팟 만들기","2020-10-18T01:37:05Z","UCd4FmcWIVdWAy0-Q8OJBloQ","사나고 Sanago","26","20.20.10","사나고|3D펜|3Dpen|만들기|making|3d프린터|3Dprinting|어몽어스","1741414","62879","888","10298","https://i.ytimg.com/vi/CX8GpnlTUoo/default.jpg","False","False","● 3D펜 사나고 샵https://smartstore.naver.com/sanago● 인스타그램https://www.instagram.com/sanago_kr/● 3D펜카페 [사나고의 3D펜 비밀기지]https://cafe.naver.com/sanago● Contact 광고문의uggnll@naver.com도면 이미지 참고 트위터 @men1_drawing각국어 번역 자막 제작 : 컨텐츠 제작의 마무리는 컨텐츠플라이! 글로벌 진출을 위한 최고의 파트너,CONTENTSFLY에서 제작되었습니다.https://www.contentsfly.com      #사나고 #3Dpen #3D펜","PT8M3S"
"EGRKv64cdVo","[김은영을 만나다] '화성인' G컵녀, 9년 만의 근황... 현재 몸무게 38kg","2020-10-19T09:59:58Z","UCy1fruN1Tl636SMmyp4x48g","근황올림픽","24","20.20.10","근황|근황올림픽|김은영|화성인|G컵녀|지컵녀","1350368","7559","264","1607","https://i.ytimg.com/vi/EGRKv64cdVo/default.jpg","False","False","약 9년 전, '화성인 X 파일'에 출연했던 '지컵녀' 김은영 씨. 당시 수많은 화제를 불러일으켰던 인물이죠.수줍고 의기소침한 모습으로 방송에 등장, 사연을 전해 관심을 받기도 했습니다.9년 만에 김은영 씨를 만났습니다.갑작스러운 아버지의 병환으로 집안이 흔들렸고, 이에 동생과 함께 '화성인 X-파일'에 출연하게 됐던 사연부터,몸무게 미달로 수술이 어려워 동생이 대신 간이식을 해야했던 당시의 안타까운 심경도 전했습니다.가족이 행복하게 사는 것이 인생의 목표라는, '화성인 지컵녀' 김은영 님의 근황입니다.","PT7M1S"
"wyNwbYl1fQk","힘든 건 사랑이 아니다 (Love should not be harsh on you)","2020-10-19T09:12:28Z","UCF5gnykb86dwedwxvsRICXg","Im Chang-jung - Topic","10","20.20.10","임창정 (IM CHANG JUNG)|힘든 건 사랑이 아니다 (Love should not be harsh on you)","99858","1633","65","84","https://i.ytimg.com/vi/wyNwbYl1fQk/default.jpg","False","False","Provided to YouTube by Interpark Corp힘든 건 사랑이 아니다 (Love should not be harsh on you) · 임창정 (IM CHANG JUNG)힘든 건 사랑이 아니다 (Love should not be harsh on you)℗ 2020 InterparkReleased on: 2020-10-19Auto-generated by YouTube.","PT4M29S"
"OPWwpcoqlfo","[SMTM9]  🎉 1차 예선 합격자 모음 🎉","2020-10-19T09:09:10Z","UCepUWUpH45hRTi-QePdq1Bg","Mnet Official","24","20.20.10","Kpop|MCD|mcountdown|mnet|playmnet|pop|korea|music|asia|asian|365lit|가오가이|노아주다|디아크|리비도|릴보이|맥대디|맥키드|머쉬베놈|바이스벌사|스카이민혁|안병웅|야누|에이체스|오왼|원슈타인|이로한|전현재|주피터|차메인|창빈|칠린호미|쿤디판다|쇼미|쇼미9|쇼미9_1차합격자|쇼미9_1차합격자모음|쇼미_1차합격자모음|1차합격자|1차합격자모음|1차예선|쇼미9_1차예선|쇼미9_1차예선합격자|쇼미_1차예선|쇼미예선|쇼미9_예선|쇼미9_예선합격자모음|쇼미9_예선합격자","853213","17145","279","4431","https://i.ytimg.com/vi/OPWwpcoqlfo/default.jpg","False","False","SMTM9 1차 예선 합격자 모음(EP.1)365lit, 가오가이, 노아주다, 디아크, 리비도, 릴보이, 맥대디, 맥키드, 머쉬베놈, 바이스벌사, 스카이민혁, 안병웅, 야누, 에이체스, 오왼, 원슈타인, 이로한, 전현재, 주피터, 차메인, 창빈, 칠린호미, 쿤디판다 SMTM9 매주 금요일 밤 11시 Mnet! #SMTM9 #쇼미더머니9 #ShowMeTheMoney9","PT10M49S"
