video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"6OU50pLDlYA","Snow Man「君の彼氏になりたい。」振り付け講座","2020-10-24T13:00:04Z","UCuFPaemAaMR8R5cHzjy23dQ","Snow Man","10","20.25.10","Snow Man|スノーマン|岩本 照|Hikaru Iwamoto|深澤 辰哉|Tatsuya Fukazawa|ラウール|Raul|渡辺 翔太|Shota Watanabe|向井 康二|Koji Mukai|阿部 亮平|Ryohei Abe|目黒 蓮|Ren Meguro|宮舘 涼太|Ryota Miyadate|佐久間 大介|Daisuke Sakuma|滝沢秀明|タッキー|アクロバット|KISSIN' MY LIPS|KISSIN|Stories|ブラッククローバー|ブラクロ|スノキッシン|君の彼氏になりたい|振付講座|ダンス|振り付け","1055330","0","0","9525","https://i.ytimg.com/vi/6OU50pLDlYA/default.jpg","False","True","Snow Man 2ndシングル「KISSIN’ MY LIPS / Stories」の通常盤に収録されているカップリング曲「君の彼氏になりたい。」の振り付け講座を大公開！デビュー後、初となるコンサート「Snow Man ASIA TOUR 2D.2D.」を生配信で開催中！！「君の彼氏になりたい。」のパフォーマンスはもちろん、ダイナミックなダンスやアクロバットをお楽しみください！【Snow Man ASIA TOUR 2D.2D.】https://online.johnnys-net.jp/s/jno/page/2D2D「KISSIN’ MY LIPS」Music Videohttps://youtu.be/gsR-bbdGn_I「Stories」Music Videohttps://youtu.be/M6m5JEfQ-U0●初回盤A（CD+DVD） 品番：AVCD-94848B 価格：1,600（税抜） ￥1,760（税込） スリーブ仕様 動画A視聴シリアルナンバー封入 【CD収録内容】 01. KISSIN’ MY LIPS 02.Stories 【DVD収録内容】 ・「KISSIN’ MY LIPS」 Music Video ・「Stories」Music Video ・「Stories」Dance Video ・ジャケット/Music Videoメイキング映像 ●初回盤B（CD+DVD） 品番：AVCD-94849B 価格：1,600（税抜） ￥1,760（税込） スリーブ仕様 動画B視聴シリアルナンバー封入 【CD収録内容】 01. KISSIN' MY LIPS 02. Stories 【DVD収録内容】 ・「KISSIN’ MY LIPS」マルチアングル映像 ・ 撮り下ろし特典映像 真実を暴け！JOKERゲーム ●通常盤（CD） 品番：AVCD-94850X 価格：1,000（税抜） ￥1,100（税込） 初回仕様：スリーブケース、26Pフォトブック 動画C視聴シリアルナンバー封入 【CD収録内容】01. KISSIN’ MY LIPS 02. Stories 03. 君の彼氏になりたい。04. ファンターナモーレ 05.「KISSIN’ MY LIPS」Instrumental 06.「Stories」Instrumental 07.「君の彼氏になりたい。」Instrumental 08.「ファンターナモーレ」Instrumental 09.ボイスドラマ #SnowMan #君の彼氏になりたい#振り付け講座Snow Man オフィシャルサイト https://avex.jp/snowman/ Snow Man on ジャニーズJr.チャンネル https://goo.gl/UXB2Ms Weibo https://www.weibo.com/SnowManofficial Johnny's net http://www.johnnys-net.jp/ ISLAND TV https://j-island.net/artist/group/id/4","15M19S"
"B9OoRXbl4e0","「CSM戦極ドライバー」呉島 貴虎役　久保田悠来氏＆呉島 光実役　高杉真宙氏スペシャルムービー","2020-10-25T00:30:01Z","UCtvh0wC06tV2EeRBk1OfUhg","バンダイ公式チャンネル","24","20.25.10","バンダイナムコ|Bandai|Namco|玩具|おもちゃtoy|仮面ライダー|仮面ライダー鎧武|鎧武|戦極ドライバー|CSM戦極ドライバー|ロックシード|ヘルヘイムの実|鎧武外伝|オレンジアームズCSM|COMPLETE SELECTION MODIFICATION","205960","7831","51","0","https://i.ytimg.com/vi/B9OoRXbl4e0/default.jpg","True","False","「仮面ライダー鎧武」より変身ベルト 「CSM戦極ドライバー」が登場！ 呉島 貴虎役　久保田悠来氏＆呉島 光実役　高杉真宙氏によるスペシャルムービーを公開！予約期間：2020年10月25日（日）～12月21日（月）商品詳細はこちら▼CSM戦極ドライバーURL：https://p-bandai.jp/item/item-1000150348/CSMロックシード シャルモンセットURL：https://p-bandai.jp/item/item-1000150349/CSM戦極ドライバー プロジェクトアークエディションURL：https://p-bandai.jp/item/item-1000150350/CSMロックシード　シャルモンセット　鎧武外伝Blu-ray スペシャルセットhttps://p-bandai.jp/item/item-1000151278/====== おもちゃ情報は「仮面ライダーおもちゃウェブ」でチェック！！ https://toy.bandai.co.jp/series/rider/======(C)石森プロ・東映----------------------------------------­-------------チャンネル登録すると映像の更新やキャンペーンのお知らせが届きます！＞＞＞　http://goo.gl/Vl3AR----------------------------------------­-------------","8M43S"
"0H63rwT1VeY","バカのテスト結果がマジ腹痛いＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷＷ","2020-10-24T12:33:06Z","UCE0UZVTfvQ8jiNxdIlLeWeA","ジェルOfficial","24","20.25.10","ジェルボイス|すとぷり|ジェル|莉犬|ころん|さとみ|るぅと|ななもり|歌い手|遠井さん","891098","41118","586","1685","https://i.ytimg.com/vi/0H63rwT1VeY/default.jpg","False","False","自分がおもしろいと思うものが、みんなにとってもおもしろいっていうのはなんか繋がりを感じてうれしい。変わってる自分だけどそこだけはみんなとあきらかに同じ感覚なんだなーって毎日おもしろ動画を投稿してるジェルでーす！チャンネル登録よろしく！コメント、高評価もお願いします！ジェルのTwitterはこちら！【https://twitter.com/Jel__official  】 ツイキャスでも生配信してるぜ！【https://twitcasting.tv/c:jelvoice/ 】ジェルの公式ラインアカウント！【http://nav.cx/RXUW0Q 】エンディング曲『ポーカーダンス』　歌　ジェル【https://www.youtube.com/watch?v=IjqR0Jg_BXw】🍓すとぷりのおすすめオリジナル楽曲！🍓【MV】大好きになればいいんじゃない？／すとぷり【HoneyWorks】https://youtu.be/qwz9v5nCqm0【MV】おかえりらぶっ！／すとぷり【HoneyWorks】https://youtu.be/c3DazWbrI_Q【MV】僕らだけのシャングリラ／すとぷりhttps://youtu.be/GIaV8cGgQns🍓すとぷりめんばーのちゃんねる！🍓🍓莉犬 / 赤色担当！🍓https://www.youtube.com/channel/UCpcGAVuBSJEFs48MBxhf9eg🍓さとみ / ピンク担当！🍓https://www.youtube.com/channel/UC-1uvY3U4sMSGi52IcT_fWQ🍓ジェル / オレンジ担当！🍓https://www.youtube.com/channel/UCE0UZVTfvQ8jiNxdIlLeWeA🍓ななもり。/ ムラサキ担当！🍓https://www.youtube.com/channel/UClqEh59SFJVyKU0RIhFBJ3A🍓ころん / 水色担当！🍓https://www.youtube.com/channel/UCJtMfSSPKuW22GXfkaN7DOA🍓るぅと / 黄色担当！🍓https://www.youtube.com/channel/UC26AciTXULvcABdrWbaeL8Q","1M33S"
"BvM0L9m9A2I","「CSM戦極ドライバー」城乃内 秀保役：松田凌氏＆凰蓮・ピエール・アルフォンゾ役　吉田メタル氏スペシャルムービー","2020-10-25T00:30:01Z","UCtvh0wC06tV2EeRBk1OfUhg","バンダイ公式チャンネル","24","20.25.10","バンダイナムコ|Bandai|Namco|玩具|おもちゃtoy|仮面ライダー|仮面ライダー鎧武|鎧武|戦極ドライバー|CSM戦極ドライバー|ロックシード|ヘルヘイムの実|鎧武外伝|オレンジアームズCSM|COMPLETE SELECTION MODIFICATION","162627","5421","32","0","https://i.ytimg.com/vi/BvM0L9m9A2I/default.jpg","True","False","「仮面ライダー鎧武」より変身ベルト 「CSM戦極ドライバー」が登場！ 城乃内 秀保役：松田凌氏＆凰蓮・ピエール・アルフォンゾ役　吉田メタル氏によるスペシャルムービーを公開！予約期間：2020年10月25日（日）～12月21日（月）商品詳細はこちら▼CSM戦極ドライバーURL：https://p-bandai.jp/item/item-1000150348/CSMロックシード シャルモンセットURL：https://p-bandai.jp/item/item-1000150349/CSM戦極ドライバー プロジェクトアークエディションURL：https://p-bandai.jp/item/item-1000150350/CSMロックシード　シャルモンセット　鎧武外伝Blu-ray スペシャルセットhttps://p-bandai.jp/item/item-1000151278/====== おもちゃ情報は「仮面ライダーおもちゃウェブ」でチェック！！ https://toy.bandai.co.jp/series/rider/======(C)石森プロ・東映----------------------------------------­-------------チャンネル登録すると映像の更新やキャンペーンのお知らせが届きます！＞＞＞　http://goo.gl/Vl3AR----------------------------------------­-------------","4M51S"
"kdXSABDmT2k","「CSM戦極ドライバー」葛葉 紘汰役：佐野岳氏＆駆紋 戒斗役　小林豊氏スペシャルムービー","2020-10-25T00:30:02Z","UCtvh0wC06tV2EeRBk1OfUhg","バンダイ公式チャンネル","24","20.25.10","バンダイナムコ|Bandai|Namco|玩具|おもちゃtoy|仮面ライダー|仮面ライダー鎧武|鎧武|戦極ドライバー|CSM戦極ドライバー|ロックシード|ヘルヘイムの実|鎧武外伝|オレンジアームズCSM|COMPLETE SELECTION MODIFICATION","216908","7990","49","0","https://i.ytimg.com/vi/kdXSABDmT2k/default.jpg","True","False","「仮面ライダー鎧武」より変身ベルト 「CSM戦極ドライバー」が登場！ 葛葉 紘汰役：佐野岳氏＆駆紋 戒斗役　小林豊氏によるスペシャルムービーを公開！予約期間：2020年10月25日（日）～12月21日（月）商品詳細はこちら▼CSM戦極ドライバーURL：https://p-bandai.jp/item/item-1000150348/CSMロックシード シャルモンセットURL：https://p-bandai.jp/item/item-1000150349/CSM戦極ドライバー プロジェクトアークエディションURL：https://p-bandai.jp/item/item-1000150350/CSMロックシード　シャルモンセット　鎧武外伝Blu-ray スペシャルセットhttps://p-bandai.jp/item/item-1000151278/====== おもちゃ情報は「仮面ライダーおもちゃウェブ」でチェック！！ https://toy.bandai.co.jp/series/rider/======(C)石森プロ・東映----------------------------------------­-------------チャンネル登録すると映像の更新やキャンペーンのお知らせが届きます！＞＞＞　http://goo.gl/Vl3AR----------------------------------------­-------------","4M8S"
"bqeb2l8YLyY","陣内智則【コント 盗聴器】","2020-10-24T09:00:14Z","UCCp9Q2JCLjOenDa63FJi_Ag","陣内智則のネタジン","23","20.25.10","陣内智則|ネタ動画|芸人|よしもと|ネタジン|盗聴器|無線機","532456","9298","293","990","https://i.ytimg.com/vi/bqeb2l8YLyY/default.jpg","False","False","暇を持て余した陣内は家にあった無線機を使って盗聴してみることに…。電話の会話や無線を聞いてみると思いもよらない会話が聞こえてくる。今回はあの有名芸能人も声の出演をしています。誰が出演しているかがネタの最後に発表。誰の声かを想像しながら是非お楽しみください。※あくまでコントですので盗聴は絶対にやめましょう。#盗聴器 #無線機 #陣内智則YouTubeチャンネル【陣内智則のネタジン 】毎週水曜日は時間未定で配信！毎週土曜日は１８時ネタ動画配信！！◼️陣内智則Twitterhttps://twitter.com/jinnai_tomonori?lang=ja","10M41S"
"BO26vKhqjho","ゆめまる(東海オンエア) : 素行の悪いと思うYouTuber","2020-10-24T12:30:02Z","UC4kUV8uGKmoQUs1HLzf7jsg","ニートtokyo","22","20.25.10","ニートtokyo|ニート東京|ラッパー|ラップ|interview|インタビュー|seeda|日本語ラップ|MCバトル|フリースタイルダンジョン|戦極MCBATTLE|凱旋MCbattle|UMB|ultimate mc battle|高ラ|高校生ラップ選手権|rap|好きな銘柄|恐怖体験|ゆめまる|ゆめまる 東海オンエア|Bark at the Moon","376483","8829","310","889","https://i.ytimg.com/vi/BO26vKhqjho/default.jpg","False","False","ゆめまる(東海オンエア) 愛知県岡崎市を拠点に活動するYouTubeクリエイターグループの東海オンエアのメンバー。メンバーカラーはピンクYouTube活動を来なく傍、自身のアパレルブランド「Bark at the Moon」を展開している。ニートtokyo@every 9pm■ニートtokyo■□twitter□https://twitter.com/neettokyo□instagram□https://www.instagram.com/neettokyo/Interviewer Sato Koro#ゆめまる #東海オンエア #BarkattheMoon","59S"
"XHxmNN_8ZOo","【これで見納め】厳選74着！乃木坂衣装でガールズルール【本人が踊ってみた】#10","2020-10-24T11:00:05Z","UCUApURCve0BEqv6Sa9x_OJg","my channel【白石麻衣 公式】","20","20.25.10","[none]","1082071","80811","345","6586","https://i.ytimg.com/vi/XHxmNN_8ZOo/default.jpg","False","False","ご視聴いただきありがとうございます。今回の企画はついに…ついに…あの企画に挑戦します！“白石麻衣　ガールズルールを踊ってみた”それもただ「踊ってみた」ではありません。これまでの感謝を込めて、乃木坂の衣装…着れるだけ着ました！！改めまして、【白石麻衣　ガールズルールを着れるだけ着て踊ってみた！】です！！衣装は全部で200以上の中から本人が着用したいものを厳選し74着、歌割りへの衣装のはめ込みも本人、ダンス中のハッシュタグも本人が思い出を振り返りながら考えましたので、メイキングも含めて是非注目して見てください！---▶︎チャンネル登録はコチラ！http://www.youtube.com/channel/UCUApU...▶︎乃木坂46 公式HPhttp://www.nogizaka46.com/▶︎乃木坂46 公式YouTubehttps://www.youtube.com/channel/UCUzp...▶︎乃木坂46 公式Twitterhttps://twitter.com/nogizaka46#白石麻衣 #ガールズルール #踊ってみた #乃木坂46 #nogizaka46 #shiraishimai","12M54S"
"k7RCqj6AS8g","【ギータ速報】本日『最高に意味不明な本塁打』オブ・ザ・イヤーが決定しました","2020-10-23T13:24:37Z","UC0v-pxTo1XamIDE-f__Ad0Q","(パーソル パ・リーグTV公式)PacificLeagueTV","17","20.25.10","パーソルパリーグTV|パリーグTV|パシフィックリーグ|Pacificleague|プロ野球","1786675","25757","488","4218","https://i.ytimg.com/vi/k7RCqj6AS8g/default.jpg","False","False","前も似たようなことを書いた気がする。毎回「意味がわからない」と書いているような感じがする。しかし今日、確実に『最高に意味不明な本塁打』オブ・ザ・イヤーが決定しました。お待たせしました、本日の福岡ソフトバンク・柳田悠岐のホームランをお届けします。＜パ・リーグ主催全試合を生中継！パーソル パ・リーグTVはこちら！＞https://tv.pacificleague.jp/✓パ・リーグ6球団公式情報をお届け：https://insight.official-pacificleague.com/✓パーソル パ・リーグTVチャンネル登録：https://www.youtube.com/channel/UC0v-pxTo1XamIDE-f__Ad0Q✓パ・リーグの過去映像を見るなら：https://www.youtube.com/channel/UCrjlKkKTAyNn6gekRM3p0Aw/SNSも毎日更新中！▶Twitter：https://twitter.com/PacificleagueTV▶Instagram：https://www.instagram.com/pacificleaguetv/▶Facebook：https://www.facebook.com/pacificleaguetv▶LINE：https://lin.ee/2hB4obT#意味不明という言葉でも形容しがたい #ギータ弾 #柳田悠岐 #福岡ソフトバンクホークス #パーソルパリーグTV #パシフィックリーグ #SoftBankHawks #福岡軟銀 #YukiYanagita","2M12S"
"E_LScpRGcpM","【もはや女子会】じんじんと高級焼肉食べながら質問コーナーしたら盛り上がりすぎて気まずかったwwww","2020-10-24T11:16:39Z","UCg5ZU7dFNu2pmCIBAoaIjAQ","とみビデオ","22","20.25.10","とみビデオ|トミー|水溜りボンド","125381","5728","152","2265","https://i.ytimg.com/vi/E_LScpRGcpM/default.jpg","False","False","じんじんちゃんねるhttps://www.youtube.com/channel/UClCGEaWmWaau2f7ZAdzE0QAパパラピーズhttps://www.youtube.com/c/paparapys▼撮影協力焼肉うしごろ 銀座並木通り店https://www.google.co.jp/amp/s/s.tabelog.com/tokyo/A1301/A130101/13226719/top_amp/とみビデオのとみです！【チャンネル登録】と【高評価】よろしくお願いいたします！☆とみビデオチャンネル素材大募集（第２弾）https://forms.gle/GSG46JHTQJAYzbT4A※ご応募いただいた素材に不備があっても個別の修正、変更対応などはできかねますので、提出前に一度ご確認のほど何卒よろしくお願いいたします！●Twitterhttps://twitter.com/miztamari_nikki●Instagramhttps://www.instagram.com/tommymizutamaribond/●SUGARhttps://sugar-live.com/artists/tommy_mizutamaribond◯水溜りボンドhttps://www.youtube.com/channel/UCpOjLndjOqMoffA-fr8cbKA◯水溜りボンドの日常https://www.youtube.com/channel/UCaTFX7ckdowpnwHWcJGH2KQ［素材提供］kana様おなか様ビタミン様えむきち様く〜ちゃん様ぴろぴろ様ぽんのこつすけ様R4音様ほしか様杏 。様おがぴー様米八神様","1H15M36S"
