video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"5ParMjMM224","UFC 254: Хабиб vs Гэтжи - Слова после боя","2020-10-24T21:48:26Z","UCU8bQExxd38i-mnn-GLOtfA","UFC Russia","17","20.25.10","ufc|ufc254|хабиб|нурмагомедов|гэтжи|уиттакер|каннонир|рахмонов|шавкат|анкалаев","6746688","181716","5142","12884","https://i.ytimg.com/vi/5ParMjMM224/default.jpg","False","False","Подписывайся на UFC Fight Pass: https://ufcfightpass.com/signupБой за звание Чемпионов Земли: https://avanpostfilm.ru/serial-tv3?utm_source=youtube_ufc&utm_medium=link&utm_campaign=avanpostПодписывайтесь на единственный официальный канал UFC на русском языке: https://bit.ly/2REVF4MСледите за UFC в русскоязычных социальных сетях: Instagram: http://www.instagram.com/ufcrussia Twitter: http://www.twitter.com/ufcrussia Vkontakte: http://www.vk.com/ufc","7M"
"571S67D_hMQ","Обзор боя ХАБИБ-ГЭТЖИ | Слова после боя | UFC 254","2020-10-24T22:05:03Z","UCroAB1gAyQEpk1EDUPE65QA","FightSpace","17","20.25.10","хабиб|хабиб последний бой|хабиб нурмагомедов|хабиб гэтжи|khabib|гас|ufc 254|хабиб задушил|джастин гэтжи","1097156","16843","1776","1129","https://i.ytimg.com/vi/571S67D_hMQ/default.jpg","False","False","Хабиб Нурмагомедов в оличном стиле провел поединок на UFC 254 и победил Джастина Гэтжи. Смотрите обзор боя!18+https://allboxing.ru/ - Новости профессионального бокса и ММАМы в VK.com: https://vk.com/fight.spaceНаш Инстаграм: https://www.instagram.com/fight.space/Мы на FaceBook: https://www.facebook.com/fightspaceunitedИнтернет-магазин одежды и экипировки: http://FightStore.ru Подписывайтесь на наш канал: http://goo.gl/gPGoPiПоддержать канал: https://goo.gl/Fx1xENПо вопросам рекламы и сотрудничества на канале FightSpace: pr@fightspace.ru#Хабиб #Гэтжи #ufc254","3M46S"
"a-hoswvLWlM","Шлеменко В ШОКЕ от Хабиба - реакция на завершение карьеры и слезы после боя с Гэтжи на UFC 254","2020-10-24T22:08:41Z","UClk_DNP1t5fXhu9yBQRD6yg","Александр Лютиков","17","20.25.10","хабиб нурмагомедов|джастин гэтжи|александр шлеменко|хабиб гэтжи|ufc|хабиб гейджи бой|нурмагомедов|абдулманап нурмагомедов|хабиб завершил карьеру|ufc 254|khabib|gaethje|лютиков|шлеменко|завершил карьеру","1052971","23425","1122","1944","https://i.ytimg.com/vi/a-hoswvLWlM/default.jpg","False","False","Александр Шлеменко смотрит бой Хабиба Нурмагомедова с Джастином Гэтжи, реагирует на слезы Хабиба после боя и решение завершить карьеру в 32 года. Почему плакал Хабиб - уникальные кадры: https://youtu.be/hYU4ouTh3-w00:00 Прогнозы до боя02:17 Бой начался. «Что-то я нервничаю»05:14 Второй раунд: «Все, Гэтжи конец»05:56 Хабиб побеждает удушающим06:32 Хабиб Нурмагомедов плачет. Реакция Шлеменко07:13 Хабиб объявляет о завершении карьерыЛютиков в инстаграме: https://instagram.com/a_lutikovПодпишись на этот канал: https://www.youtube.com/channel/UClk_DNP1t5fXhu9yBQRD6yg?sub_confirmation=1Сильные истории про Хабиба и его отца Абдулманапа Нурмагомедова от дагестанского комментатора: https://youtu.be/eF9g9u9iaDEБой Хабиб Нурмагомедов vs Джастин Гэтжи за титул чемпиона UFC в легком весе прошел 24 октября 2020 года в Абу-Даби на турнире UFC 254. Хабиб Нурмагомедов, 32 года. Статистика в ММА: 28 побед, 0 поражений. Чемпион UFC в легком весе. Джастин Гэтжи, 31 год. Статистика в ММА: 22 победы, 2 поражения. Временный чемпион UFC в легком весе. Александр Шлеменко, 36 лет. Статистика в ММА: 59 побед, 13 поражений, 1 бой признан несостоявшимся. Бывший чемпион Bellator в среднем весе. Прямая трансляция боя Нурмагомедов - Гэтжи прошла на канале РЕН ТВ.#хабиб #шлеменко #ufc254","9M7S"
"8Mir1ZbUfj4","Хабиб ушёл, теперь я номер 1 / Слова Гэтжи после боя против Хабиба на UFC 254","2020-10-24T23:20:37Z","UCkrbi2bmw7DQuuC8k4TP-QA","TRUE GYM MMA","17","20.25.10","хабиб|хабиб нурмагомедов|джастин гэтжи|хабиб гэтжи|хабиб слова после боя против гэтжи|хабиб против|хабиб гэтжи бой|слова после боя|хабиб слова после боя|хабиб нурмагомедов джастин гэтжи|мма|хабиб гэтжи когда бой|ufc 254|гейджи|хабиб джастин гэтжи|хабиб нурмагомедов против джастина гэтжи|бой хабиб гэтжи|хабиб ufc|хабиб гейджи|хабиб против гэтжи|бой хабиба|гэтжи хабиб нурмагомедов|бой хабиб джастин гэтжи|бой хабиб нурмагомедов|гэтжи слова после боя","2314729","62302","1543","4796","https://i.ytimg.com/vi/8Mir1ZbUfj4/default.jpg","False","False","Хабиб ушёл, теперь я номер 1 / Слова Гэтжи после боя против Хабиба на UFC 254Понравился ролик, подпишись 👉🏻 http://goo.gl/JxoIQRНаш Инстаграм 👉🏻 https://www.instagram.com/truegyyym/Группа ВКонтакте 👉🏻 https://vk.com/truegym🥊 Залы для занятия боксом в Москве 👉 http://extrimpower.ru/Лучшая благодарность для нас - твой лайк, репост и комментарий под видео. Огромное спасибо за просмотр ﭢВсе права принадлежат TRUE GYMИспользование фрагментов видео разрешено только с согласия автора.","7M54S"
"X8Uk1raqNKE","Дана Уайт: ХАБИБ - ВЕЛИЧАЙШИЙ БОЕЦ ВСЕХ ВРЕМЕН / пресс-конференция после UFC 254","2020-10-25T00:09:43Z","UCaPUQ2WnmAxqdl8mbgIfzng","Ушатайка : Спорт-Экспресс","17","20.25.10","хабиб|гейджи|промо|бой|нельзя пропустить|этот бой нельзя пропустить|ufc|ufc 254|бои|нурмагомедов|джастин|хабиб нурмагомедов|хабиб гейджи|хабиб интервью|бой хабиба и гейджи|хабиб против гейджи|хабиб против|новый бой хабиба|мма|когда бой хабиба|пресс конференция хабиба|хабиб гэтжи|хабиб гэтжи бой|гэтжи|джастин гейджи|хабиб против гэтжи|джастин гэтжи|хабиб завершил карьеру|хабиб речь|дана уайт|реакция даны уайта на уход хабиба|дана уайт о хабибе","534269","12677","309","654","https://i.ytimg.com/vi/X8Uk1raqNKE/default.jpg","False","False","Пресс-конференция президента UFC Даны Уайта после турнира UFC 254. Хабиб Нурмагомедов в главном бою шоу победил удушающим приемом Джастина Гейджи. После боя Нурмагомедов объявил о завершении карьеры в ММА. Он остановился на рекорде 29-0.Оригинал видео - MMA Junkie: https://www.youtube.com/watch?v=gZQ2qySZgqw&t=2sРеакция Камила Гаджиева: https://www.youtube.com/watch?v=tvVd137lSgQ&t=34sРеакция Александра Шлеменко: https://www.youtube.com/watch?v=Aw2e_RSGfSA&t=33sНародные гуляния в Махачкале в честь победы Хабиба: https://www.youtube.com/watch?v=5BcQD6mj6I4ОТКРОВЕННОЕ интервью Хавьера Мендеса о Хабибе: https://www.youtube.com/watch?v=ih2Pu9_po_Q&t=1464s#Хабиб #UFC254 #ХабибНурмагомедов #Гейджи #ХабибГейджи #ДжастинГейджи #ДанаУайт #UFC","4M24S"
"Sc_-IuPTmvI","ХАБИБ: сильная речь в отеле после боя с Гейджи / разговор с Хавьером Мендесом","2020-10-25T06:26:47Z","UCaPUQ2WnmAxqdl8mbgIfzng","Ушатайка : Спорт-Экспресс","17","20.25.10","хабиб|гейджи|промо|бой|нельзя пропустить|этот бой нельзя пропустить|ufc|ufc 254|бои|нурмагомедов|джастин|хабиб нурмагомедов|хабиб гейджи|хабиб интервью|бой хабиба и гейджи|хабиб против гейджи|хабиб против|новый бой хабиба|мма|когда бой хабиба|пресс конференция хабиба|хабиб гэтжи|хабиб гэтжи бой|гэтжи|джастин гейджи|хабиб против гэтжи|джастин гэтжи|хабиб завершил карьеру|хабиб речь|дана уайт|хабиб после боя с гейджи|хавьер мендес","1112443","17840","573","915","https://i.ytimg.com/vi/Sc_-IuPTmvI/default.jpg","False","False","Видео о том, что делал Хабиб Нурмагомедов после боя с Джастином Гейджи: интервью Хавьеру Мендесу, торжественная встреча в отеле, мотивирующая речь, отъезд в Абу-Даби на вертолете.24 октября на турнире UFC 254 в Абу-Даби Хабиб победил Гейджи удушающим приемом (треугольник) во втором раунде. После поединка Нурмагомедов объявил о завершении бойцовской карьеры. Он остановился на рекорде 29-0.В материале использованы видео из инстаграмов:Хавьер Мендес - https://www.instagram.com/akajav/Антонио Родриго Ногейра - https://www.instagram.com/minotauromma/Усман Нурмагомедов -  https://www.instagram.com/abubakar_nurmagomedov/Зубайра Тухугов - https://www.instagram.com/zubairatukhugov/#Хабиб #UFC254 #ХабибНурмагомедов","2M38S"
"F3lCyTyGfuQ","Реакция Конора Макгрегора на бой Хабиба и Джастина Гэйджи/Обзор боя, мысли","2020-10-25T08:34:27Z","UCwOA1YWM-sR1ka4ijjIrMlw","ЗВУКИ ММА","17","20.25.10","ММА|КОНОР|МАКГРЕГОР|ЮФС|ХАБИБ|НУРМАГОМЕДОВ|ДАНА|УАЙТ|UFC|ТОНИ|ФЕРГЮСОН|АСА|ACB|бои|без|правил|смешанные|федор|емельяненко|даниель|кормье|джон|джонс|Забит|магомедшарипов|Jon|Bones|Jones|Зубайра|Тухугов|АРТЕМ|ЛОБОВ|мэйвезер|усик","284746","10764","414","655","https://i.ytimg.com/vi/F3lCyTyGfuQ/default.jpg","False","False","Конор Макгрегора о бое Хабиба Нурмагомедова и Джастина ГэйждиПолный бой в Записи у друзей в телеге тут https://t.me/joinchat/AAAAAEXTPS7uN36xJLqGAwПРОМОКОД ZVUKIMMA (Бонус до 100$ )ИНСТАГРАМ https://www.instagram.com/zvukimma/Мой второй канал на свободные темы https://www.youtube.com/channel/UCzgj3GLD8iW2c-JjqevxqXgПо вопросам Сотрудничества - zvukimma@mail.ru (Сразу детально пишите предложение, что продвигаете, ссылки и ТЗ)","5M41S"
"hYU4ouTh3-w","Почему плакал Хабиб / Уникальные кадры из жизни Хабиба и его отца Абдулманапа Нурмагомедова","2020-10-25T07:46:24Z","UClk_DNP1t5fXhu9yBQRD6yg","Александр Лютиков","17","20.25.10","хабиб нурмагомедов|джастин гэтжи|хабиб гэтжи|ufc|хабиб гейджи бой|нурмагомедов|абдулманап нурмагомедов|хабиб завершил карьеру|ufc 254|khabib|gaethje|лютиков|завершил карьеру|отец хабиба|хабиб первый бой","131312","6431","118","338","https://i.ytimg.com/vi/hYU4ouTh3-w/default.jpg","False","False","Сельский тренер, который вывел сына на мировой уровень. Мама, которая оказалась для Хабиба влиятельнее, чем президент UFC. Александр Лютиков - о слезах в глазах чемпиона UFC Хабиба Нурмагомедова. Лютиков в инстаграме: https://instagram.com/a_lutikovПодпишись на этот канал: https://www.youtube.com/channel/UClk_DNP1t5fXhu9yBQRD6yg?sub_confirmation=1Александр Шлеменко смотрит бой Хабиба: https://youtu.be/a-hoswvLWlMСильные истории про Хабиба и его отца Абдулманапа Нурмагомедова от дагестанского комментатора: https://youtu.be/eF9g9u9iaDEБой Хабиб Нурмагомедов vs Джастин Гэтжи за титул чемпиона UFC в легком весе прошел 24 октября 2020 года в Абу-Даби на турнире UFC 254. Хабиб Нурмагомедов, 32 года. Статистика в ММА: 28 побед, 0 поражений. Чемпион UFC в легком весе. Джастин Гэтжи, 31 год. Статистика в ММА: 22 победы, 2 поражения. Временный чемпион UFC в легком весе. Прямая трансляция боя Нурмагомедов - Гэтжи прошла на канале РЕН ТВ.#хабиб #шлеменко #ufc254","5M40S"
"Id92f4Lj0RQ","БЕРЕМЕННА В 16. РОССИЯ | 3 СЕЗОН, 4 ВЫПУСК | ЕЛИЗАВЕТА, САНКТ-ПЕТЕРБУРГ","2020-10-24T18:00:02Z","UCw25DrmfCz5_yy_Hk1sTQKQ","Телеканал Ю","24","20.25.10","канал ю|телеканал ю|ю|ю тв|ю телеканал|ю канал|реалити|реалити шоу|шоу|беременна в 16|модель xl|измены|телеканал|беременность|беременна в 16 новая серия|беременна в 16 3 сезон 4 выпуск|беременна в 16 четвертый выпуск|беременна в 16 новый выпуск|беременна в 16 3 сезон 4 серия|беременна в 16 4 выпуск|шоу беременна в 16|беременна в 16 третий сезон|юлик|ильдар|кузьма|обзор|пародия|приятный ильдар|реакция|беременна в 16 3 сезон|реакт на беременную|Санкт-Петербург","1144252","29647","1774","5342","https://i.ytimg.com/vi/Id92f4Lj0RQ/default.jpg","False","False","Лизе 17 лет, и до беременности она думала, что бесплодна. Девушка очень переживала, что ее парень сразу же уйдет, но он обрадовался новости и твердо сказал рожать. Тогда Лиза была на седьмом небе и еще не подозревала, что совсем скоро возненавидит отца своего ребенка…Кастинг в проект Беременна в 16:  https://www.u-tv.ru/castings/vserossiyskiy-kasting-na-2-y-sezon-realiti-beremenna-v-16/Сайт телеканала: https://www.u-tv.ru/Вконтакте: https://vk.com/uchannelrussiaИнста: https://www.instagram.com/uchannelrussia/Канал реалити Измены:https://www.youtube.com/channel/UCODGZJRHLzPUfx-qP-NkbNwБеременна в 16:https://vk.com/beremenna16uhttps://www.instagram.com/beremenna_v16_/Модель XL:https://vk.com/modelxlrussiahttps://www.instagram.com/_model_xl/Я стесняюсь своего тела:https://www.instagram.com/telo_russia/https://vk.com/yasstrussiaНаш канал теперь в TikTok 🔥:https://www.tiktok.com/@uchannelrussiaСамые свежие новости из мира шоу-бизнеса, а также рецепты читайте на нашем канале в Яндекс.Дзен:https://zen.yandex.ru/uchannelrussia","1H11M24S"
"it-8EwTUhCg","Хабиб Нурмагомедов победил Джастина Гейджи и завершил карьеру - Москва 24","2020-10-24T21:23:49Z","UCIme7og-uTpdRXRgm0zzA2A","Москва 24","25","20.25.10","нурмагомедов|хабиб нурмагомедов|хабиб гейджи|гэтжи|гейджи|нурмагомедов гейджи|хабиб гейджи полный бой|хабиб гейджи бой|UFC|ufc 254|ufc 254 прямой эфир|трансляция|хабиб завершил карьеру|нурмагомедов завершил карьеру|хабиб нурмагомедов завершил карьеру|джастин гэтжи|джастин гейджи|москва 24|mma|хабиб нурмагомедов против джастина гейджи|хабиб нурмагомедов бой|хабиб","1079809","10194","1469","1062","https://i.ytimg.com/vi/it-8EwTUhCg/default.jpg","False","False","Хабиб Нурмагомедов одержал победу над Джастином Гейджи на турнире UFC 254, во втором раунде совершив удушающий прием. Нурмагомедов сохранил чемпионский титул, доведя соотношение побед и поражений до отметки 29-0. Сразу после окончания боя Хабиб заявил о завершении карьеры: «Сегодня я хочу сказать, что это мой последний бой. Единственное, что я хочу – это первое место вне зависимости от весовой категории. Я это заслужил. 29-0, ни одного поражения. Я хочу сказать спасибо руководству промоушена, всем большое спасибо».Сайт: https://www.m24.ru/ Подписывайтесь на наш канал в YouTube: https://www.youtube.com/user/infomoscow24?sub_confirmation=1Мы в социальных сетях:Вконтакте: https://vk.com/infomoscow24Twitter: https://twitter.com/infomoscow24Facebook: https://www.facebook.com/infomoscow24/Instagram: https://www.instagram.com/infomoscow24/Одноклассники: https://ok.ru/infomoscow24Москва 24 - это новости 24 часа в прямом эфире. Наши корреспонденты освещают все важные события города. Политика, экономика, спорт, юмор, погода, интервью, специальные репортажи, происшествия и многое другое вы увидите первыми в прямом эфире.","4M8S"
