video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"SYo6bTss8u4","【ご報告】しばなんファミリーに無事次男が誕生しました♡","2020-10-29T10:00:05Z","UColoXxvhfz54o0icqQRPzYw","しばなんチャンネル","24","20.30.10","しばゆー|あやなん|ポンス|しばなん|しばなんチャンネル|東海オンエア|キッズチャンネル|子どもが喜ぶ|ダンス|踊り|歌|ピアノ|新婚|カップル|ドッキリ|モニタリング|高校生|妊娠","1166499","64476","775","4895","https://i.ytimg.com/vi/SYo6bTss8u4/default.jpg","False","False","こんなに楽しくYoutube活動を続けながら無事に次男を出産できたのは毎日暖かいコメントやメッセージをくれるみんなのおかげだったなと心から感じています。二人目の妊娠中はしばゆーもなかなかうちにいられなくて寂しかったけど本当にみんなのコメントに支えられていました。ありがとうございました！一人一人恩返ししたいけど私にできることはただ動画を上げることなのでこれからも楽しく続けていきます！！wみんなに会える日がまたきたら沢山話そうね♡改めて、四人になったしばなんファミリーをよろしくお願いします♡ぜひチャンネル登録お願いします（＾＾）【♡サブチャンネル♡】「しばなんといっしょ」でゆるい日常を公開中！ぜひチャンネル登録してね〜！！！→https://www.youtube.com/channel/UCAne8GG-iUcTzUkpQG4N7jw【♡問い合わせ♡】お仕事依頼、イベント出演依頼はこちらから！→shibanan.channel@gmail.com【♡twitterアカウント♡】あやなん → https://twitter.com/ayachan0619しばゆー Twitter → https://twitter.com/UKUN_PAPA【♡instagramアカウント♡】あやなん→https://www.instagram.com/ayachan_0619【ファンレター・プレゼントの送り先】少々お待ち下さい！！","12M38S"
"TjPGouR4FzQ","[TWICE - I CAN’T STOP ME] Comeback Stage | M COUNTDOWN EP.688","2020-10-29T11:29:38Z","UCbD8EppRX3ZwJSou-TVo90A","Mnet K-POP","24","20.30.10","트와이스|TWICE|I_CANT_STOP_ME|아이캔트스탑미|엠카운트다운|엠카|MCD|MCOUNTDOWN|엠넷|Mnet|케이팝|KPOP","1653424","221445","3397","11158","https://i.ytimg.com/vi/TjPGouR4FzQ/default.jpg","False","False","- KPOP Chart Show M COUNTDOWN | EP.688- TWICE - I CAN’T STOP ME▶Watch more video clips:http://bit.ly/MCOUNTDOWN-KPOP2020[Kor Ver.]'최초 공개' 도발 레트로 ‘트와이스’의 ‘I CAN’T STOP ME’ 무대----------------------------------------------------------------------------M COUNTDOWN is the World No.1 KPOP Chart Show, which is broadcast in 14 countries.Live broadcast every Thursday at 6 p.m. KST.(매주 목요일 저녁 6시 엠넷 생방송) ▶Subscribe Now! - Mnet K-POP: http://bit.ly/Subscribe-Mnet-KPOPFacebook: http://www.facebook.com/mcountdownTwitter: https://twitter.com/MnetMCOUNTDOWN________________________________________________Mnet(Music Network) is an official KPOP music television in South Korea owned by CJ Group.ⓒCJ ENM. Corp ALL RIGHTS RESERVED","3M59S"
"GBrpPaY-DIY","五味隆典にボコボコにされた...。【元PRIDE王者vs現RIZIN王者】","2020-10-29T11:01:00Z","UCbqtn4vldMg5HjKims7MWfw","KAI Channel / 朝倉海","27","20.30.10","朝倉海|KAIChannel|かいちゃんねる","734089","12743","215","1973","https://i.ytimg.com/vi/GBrpPaY-DIY/default.jpg","False","False","◯一言　特訓怖いけどまた行きます。◇五味さんに地獄の特訓してもらいました・・・。　https://youtu.be/gMarwSjcV4A◆YouTube　サブチャンネル：https://www.youtube.com/channel/UCEReo3ko80VlilHyIM-Lm9Q　instagram：https://instagram.com/kai_ch_youtube　twitter：https://twitter.com/kai_ch_youtube◆公式　LINE友達追加：https://lin.ee/1TjhDnN　グッズ：https://shop.kai-asakura.com/◆SNS　朝倉海　ーinstagram：https://instagram.com/kai_asakura_/　ーtwitter：https://twitter.com/kai_1031_　サイトウ　ーinstagram：https://www.instagram.com/saito_0327_/　ーtwitter：https://twitter.com/Saito_0327_　オオモリ　ーinstagram：https://www.instagram.com/e_c_omori/　ーtwitter：https://twitter.com/e_c_omori◆お仕事の相談・お問い合わせはこちらまで　E-Mail：kai.toiawase@gmail.com◆音源は以下のサービスを利用しています。　H/MIX Gallery：http://www.hmix.net/　Music is VFR：http://musicisvfr.com/free/license.html　甘茶の音楽工房：http://amachamusic.chagasi.com/terms....　MusMus：http://musmus.main.jp/　効果音ラボ：https://soundeffect-lab.info 　DOVA-SYNDROME：https://dova-s.jp　音楽の卵：http://ontama-m.com　ニコニ・コモンズ：https://commons.nicovideo.jp/materials/　ED協力：KICS(https://www.youtube.com/channel/UCxE78QWWRGsgV4v-vZHErog)#朝倉海#KAIChannel#かいちゃんねる#asakurakai","17M53S"
"gMarwSjcV4A","五味隆典VS朝倉海","2020-10-29T11:00:11Z","UCuiIYH3lSGyjhHvwrs8uiwA","五味隆典","22","20.30.10","五味隆典|fireballkid|朝倉海|朝倉未来|rizin|mma|ufc|修斗|レスリング","228312","5387","127","358","https://i.ytimg.com/vi/gMarwSjcV4A/default.jpg","False","False","#五味隆典 ＃イーストリンカンラスカルジム ＃プードル #朝倉海 #朝倉未来 #朝倉兄弟RIZINバンタム級チャンピオンの朝倉海選手がジムに遊びに来てくれました！朝倉海KAI Channelhttps://youtu.be/GBrpPaY-DIY","12M23S"
"rfwfmh4Dq28","[We NiziU!~We need U!~] Teaser2","2020-10-29T11:00:24Z","UCHp2q2i85qt_9nn2H7AvGOw","NiziU Official","24","20.30.10","niziu|NiziU|Makeyouhappy|make you happy|JYP|Sony|JYP nation|M/V|M/V Teaser|Pre-Debut|니쥬|needyou|nizi project|nizipro|니지프로젝트|마야|마코|리마|리오|미이히|마유카|아야카|니나|리쿠|maya|mako|rima|miihi|mayuka|rio|ayaka|nina|riku|ニジュー|虹プロジェクト|虹プロ|ニジプロ|アイドル|オーディション番組|スッキリ|マヤ|マコ|リマ|リオ|ミイヒ|マユカ|アヤか|ニナ|リク|JYPさん|パクッチ|モチゴリ|떡고|박진영|트와이스|잇지|twice|itzy|girl group|k-pop|j-pop|Step and a step","746362","29675","269","1419","https://i.ytimg.com/vi/rfwfmh4Dq28/default.jpg","False","False","[We NiziU!~We need U!~] Teaser22020.11.05 Thursday 20:00 ON AIRNiziU Official Homepage: https://niziu.com/NiziU Official YouTube: https://www.youtube.com/c/NiziUOfficialNiziU Official Facebook: https://www.facebook.com/NiziUinfoofficialNiziU Official Twitter: https://twitter.com/NiziU__officialNiziU Official Instagram: https://www.instagram.com/niziu_info_official/NiziU Official Artist Instagrm: https://www.instagram.com/niziu_artist_official/NiziU Official TikTok: https://vt.tiktok.com/U2WDoG/NiziU Official FANCLUB WithU: http://fc.niziu.comNiziU Official FANCLUB WithU MOBILE: http://m.niziu.comJYP nation Japan Official Twitter : https://twitter.com/JYPE_JAPANJ.Y. Park Official Facebook: http://www.facebook.com/followjypJ.Y. Park Official Homepage: http://jyp.jype.com#NiziU #Makeyouhappy #NiziProject©2020 JYP Entertainment.／Sony Music Entertainment (Japan) Inc. All rights reserve","1M20S"
"mqm-dnij0FI","【4184Kcal】ペヤング超超超超超超大盛りペタマックス1人で食べれるの？","2020-10-29T11:16:57Z","UCgMPP6RRjktV7krOfyUewqw","はじめしゃちょー（hajime）","24","20.30.10","hajime|はじめしゃちょー|funny|crazy|japanese|はじめ","1040918","26169","720","3336","https://i.ytimg.com/vi/mqm-dnij0FI/default.jpg","False","False","☆おすすめ動画☆・【危険】ペヤングやきそばとストロングゼロを混ぜると...https://youtu.be/yyocHuwpDPA・食べても中身が減らない大盛りペヤング焼きそばhttps://youtu.be/K0iDmSiu7kQ【MV】YouTuberあるあるソング／はじめしゃちょーhttps://youtu.be/bfWqN2BpsN8チャンネル登録よろしくおねがいします !My name is Hajime! ファンサイトが出来ました！！！▽「はじメーノ」：https://goo.gl/8XTb5tはじめしゃちょーの畑：https://www.youtube.com/channel/UClKeJXipXwX7_ZGxOBnMQywはじめしゃちょー2（ゲーム実況など）：https://www.youtube.com/user/hajimexgametwitter: https://twitter.com/hajimesyachoInstagram: https://www.instagram.com/hajimesyachodesu/?hl=en遊戯王用Twitter:https://twitter.com/duelhajime755:http://7gogo.jp/lp/ztf2d8Wmk2AWkVIvojdMdG==LINEスタンプはこちら！はじめしゃちょーhttps://store.line.me/stickershop/product/1072663/jaはじめしゃちょー2https://store.line.me/stickershop/product/1169745/ja・動画内における素材提供 ＿人人人人＿＞　PIXTA　＜￣Y^Y^Y￣------------------------------------------------------------------------------ 楽曲提供：Production Music by http://www.epidemicsound.com                     フリーBGM DOVA-SYNDROME by http://dova-s.jp/------------------------------------------------------------------------------","12M23S"
"JXNPQznDS0s","【独自】伊藤健太郎容疑者“事故の瞬間映像”(2020年10月29日)","2020-10-29T10:08:25Z","UCGCZAYq5Xxojl_tSXcVJhiQ","ANNnewsCH","25","20.30.10","ニュース|NEWS|ANN|テレビ朝日|テレ朝|tvasahi|TV ASAHI|ニュース企画|provided|伊藤健太郎|容疑者|ひき逃げ容疑|ドライブレコーダー","2176957","6826","1437","5764","https://i.ytimg.com/vi/JXNPQznDS0s/default.jpg","False","False","「衝突して現場から離れてしまった」と容疑を認めています。俳優の伊藤健太郎容疑者（23）が29日、ひき逃げの疑いで逮捕されました。　目の前で起こった異常事態。ドライブレコーダーには動揺の声が。当て逃げをした男が現場に戻ってくると、さらに驚きの事態が・・・。警視庁は東京・渋谷区で車を運転して事故を起こし、そのまま逃げたなどとして人気俳優の伊藤容疑者を逮捕しました。　伊藤容疑者は28日午後5時45分ごろ、自ら運転する乗用車で外苑西通りを走行。千駄ケ谷付近でUターンした際、2人乗りのオートバイの右側面に接触しました。　警視庁によりますと、転倒したバイクに乗っていた26歳の男性は軽傷。27歳の女性は左足を骨折し、全身を打撲する重傷でした。しかし、伊藤容疑者は負傷者を救出することなく現場から逃走。その後、追跡した車と共に現場に戻ってきた伊藤容疑者。その時の様子について・・・。　救出に向かった目撃者：「悪びれる様子もなく、その後、携帯をいじっていて誰かに連絡をした姿は見られた。そんなに反省していないのかな？と」「（Q.積極的に救護活動に参加することは？）いや、あまりそんなことなかった」　警視庁の調べに対し、伊藤容疑者は・・・。　伊藤健太郎容疑者：「自分が運転する車でバイクと衝突し、けがをさせたことは間違いない。現場から離れてしまった」　と、容疑を認めています。[テレ朝ｎｅｗｓ] https://news.tv-asahi.co.jp","4M8S"
"A-mJewuiMwU","今年4月にも接触事故を...　伊藤健太郎容疑者 ひき逃げの瞬間","2020-10-29T10:45:01Z","UCoQBJMzcwmXrRSHBFAlTsIw","FNNプライムオンライン","25","20.30.10","ニュース|NEWS|FNN|FNNプライムオンライン|フジテレビ|フジテレビジョン|FujiTelevision","705193","1760","335","1921","https://i.ytimg.com/vi/A-mJewuiMwU/default.jpg","False","False","ひき逃げの疑いで逮捕された俳優の伊藤健太郎容疑者(23)が29日午後、東京湾岸署に移送された。伊藤容疑者は、2020年4月にも東京都内で接触事故を起こしていた。午後3時すぎ、東京・渋谷区の原宿警察署から出てきた車。前を見つめているのは、俳優の伊藤健太郎容疑者。留置先の東京湾岸署に入る際には、マスクをした顔を真上に向けていた。数々の映画やドラマに出演していた若手の人気俳優が29日午前、ひき逃げや過失運転致傷の疑いで逮捕された。また、警視庁によると、伊藤容疑者は2020年4月にも東京・文京区内を走行中に、停車中の車に接触する物損事故を起こしていたことが新たにわかった。このときは、自ら110番通報をしていた。FNNが独自に入手した、今回のひき逃げ事件直後の映像。現場には、伊藤容疑者が運転していた黒の高級車が、ライトをつけたまま止まっていた。反対車線に見えるのが、被害者が乗っていたバイク。28日午後6時前、東京・渋谷区の交差点で、伊藤容疑者が運転する車がUターンした際、対向車線から来た男女2人が乗るバイクと衝突。しかし、伊藤容疑者は止まることなく、百数十メートル先まで逃走した。そのときの状況を対向車のドライブレコーダーがとらえていた。赤い丸が現場から逃げ去る伊藤容疑者の車。その後方には、衝突して倒れたバイクも映っている。バイクに同乗していた女性は、左足を骨折する重傷。男性も軽傷を負っている。逃走後、追いかけてきた70代の男性に説得され、現場に戻った伊藤容疑者。そのときの様子をタクシーの運転手が目撃していた。事故を目撃したタクシードライバー「伊藤容疑者は3分後に戻ってきた。ん? みたいな感じで悪びれた様子もなく来て、そのあとにスマホをいじってて誰かに連絡してた様子がうかがえます」伊藤容疑者は調べに対し、容疑を認めたうえで「買い物中で道に迷った」と供述している。伊藤容疑者は30日、検察に身柄を送られる見通し。(2020/10/29)FNNプライムオンラインhttps://www.fnn.jp/アプリで最新ニュースに簡単アクセスhttps://yappli.plus/fnn-prime_flyerチャンネル登録をお願いします！http://www.youtube.com/subscription_center?add_user=FNNnewsCH","3M48S"
"9fsD89jaPFM","【ゲームバランス崩壊】米2キロvs食パン2キロってどっちが早く食べ切れるの・・・？？？","2020-10-29T12:00:11Z","UCutJqz56653xV2wwSvut_hQ","東海オンエア","23","20.30.10","[none]","1453087","31070","793","3031","https://i.ytimg.com/vi/9fsD89jaPFM/default.jpg","False","False","（編集：としみつｩ）どうも、東海オンエアです。ぜひチャンネル登録お願いします！サブチャンネル【東海オンエアの控え室】もぜひチャンネル登録してね！！！https://www.youtube.com/channel/UCynIYcsBwTrwBIecconPN2Aグッズ購入はこちらから！！https://goo.gl/YtauZW有料メンバーシップの登録はこちらから！https://www.youtube.com/channel/UCutJqz56653xV2wwSvut_hQ/joinお仕事の依頼はこちらからhttps://www.uuum.co.jp/inquiry_promotionファンレターはこちらへ〒107-6228東京都港区赤坂9-7-1ミッドタウン・タワー 28階UUUM株式会社 東海オンエア宛【Twitterアカウント】てつや→https://twitter.com/TO_TETSUYAとしみつ→https://twitter.com/TO_TOSHIMITSUしばゆー→https://twitter.com/TOKAI_ONAIRりょう→https://twitter.com/TO_RYOOゆめまる→https://twitter.com/TO_yumemarucas虫眼鏡→https://twitter.com/TO_ZAWAKUN","13M59S"
"3EMiApxWGls","【生配信】ありがとう！80曲ピアノ弾きます！【80万人突破した！！！！】","2020-10-29T15:04:38Z","UCr4fZBNv69P-09f98l7CshA","ハラミちゃん〈harami_piano〉","10","20.30.10","音楽","329914","10857","141","247","https://i.ytimg.com/vi/3EMiApxWGls/default.jpg","False","False","■ハラミがYoutubeをしている理由ピアノ=子供の習い事やクラシカルなイメージがまだまだあると思います。もっとピアノという楽器が「楽しい」ということを知って欲しい！もっともっと身近にピアノを感じてもらいたい！そんな思いで動画を投稿しています♪よかったらチャンネル登録していただけると励みになります✨↓↓↓↓https://www.youtube.com/channel/UCr4fZBNv69P-09f98l7CshA?sub_confirmation=1 ■お仕事依頼や連絡はコチラ📩hararapiano@gmail.com ーーーーーーーーーーーーーーーーーーーーーーーーーーーー▼ファンクラブ🍖🎹いつでも入会お待ちしております♪いつ抜けていただいても構いません！・限定生配信ピアノコンサート・限定スタンプ＆限定バッチ(コメントで使えます)・限定Q&A生配信・限定オフショット＆限定ブログ などなど..https://www.youtube.com/channel/UCr4fZBNv69P-09f98l7CshA/join▼CD🍖🎹1stカバーアルバム「ハラミ定食」avexより絶賛発売中💿・CD＋DVDhttps://avex.lnk.to/HARAMI_CDDVD・CDのみhttps://avex.lnk.to/HARAMI_CDOnly▼公式ホームページ🍖🎹https://harami-piano.com/▼サブチャンネル🍖🎹ゆるゆる日常編（笑）飯テロしてます🍚https://www.youtube.com/channel/UCDzNUObGnzyegwPYMDDJmjg?sub_confirmation=1▼Twitter🍖🎹更新頻度高いです！ぜひフォローお願いします♪https://bit.ly/3a8S09a▼instagram🍖🎹オフショットを公開しています📸https://www.instagram.com/harami_piano▼プロフィール🍖🎹・ポップスピアニスト【ハラミちゃん】と申します🍖🎹・2019年6月〜活動開始・お肉とポムポムプリンが大好きで絶対音感持ちです🍮・2019年デビューしたYouTuberで再生回数ランキング18位・2020年7月に1stCDアルバム「ハラミ定食〜Streetpiano Collection〜」を発売👑ビルボード週間総合ランキング1位👑オリコン週間総合ランキング2位👑オリコン週間J-POP部門1位・2020年8月に中野サンプラザでワンマンLIVE開催・2020年8月にa-nationに初のピアノ1台で出演ーーーーーーーーーーーーーーーーーーーーーーーーーーーーこんにちは、ハラミです🍖🎹是非最後までご覧ください！！良かったと思ったらチャンネル登録、高評価の方をよろしくお願い致します！🙌🍖🙏✨#ストリートピアノ #80万人ありがとう #大好きストリートピアノ/streetpiano/ピアノ/Piano/カバー/cover","4H47M20S"
