video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"tTcqPzYKq5c","Никита Джигурда x Павел Дедищев | ЧТО БЫЛО ДАЛЬШЕ?","2020-10-29T09:04:01Z","UCNqktdxgAADBj36dC7VGOgg","LABELCOM","23","20.30.10","labelcom|чтобылодальше|нурлан сабуров|щербаков|алексей щербаков|сергей детков|тамби|тамби масаев|рустам рептилоид|что было дальше|лейблком|что было дальше новый сезон|чбд|лейблком что было дальше|джугара|рептилоид|новый сезон чбд|новый сезон что было дальше|что было дальше лучшее|шоу что было дальше|labelcom что было дальше|павел дедищев|дедищев|созвон|понты|стендап","5371484","281925","9802","33085","https://i.ytimg.com/vi/tTcqPzYKq5c/default.jpg","False","False","Ту ордер фуд фор ёр лавли диннер, юз зыс промокод - SHERBOCOP - ор зыс линк - https://trk.mail.ru/c/ceoqu2Ит вилл гив ю 30% офф фор зе фёрст ордер. THIS IS THE LAW!Сухарики «Хрусteam» - ощути притяжение вкуса! Узнай больше на https://hrusteam.ruМерч LABELCOM: http://mqpmerch.ru/labelcomПо вопросам рекламы и сотрудничества: labelcom@mediumquality.ru SVMOSCOW: https://instagram.com/svmoscowLABELCOM: https://instagram.com/labelcomediansLABELCOM.VIDEO: https://instagram.com/labelcom.videoНикита Джигурда: https://instagram.com/instadzhigurdaПавел Дедищев: https://instagram.com/amerikanec46Нурлан Сабуров: https://instagram.com/nurlan__saburovТамби Масаев: https://instagram.com/tambi_masaevИлья Макаров: https://instagram.com/ilia._.makarovРустам Рептилоид: https://instagram.com/rustreptiloidАлексей Щербаков: https://instagram.com/shcherbakov_alexei#чтобылодальше #нурлансабуров #labelcom","2H8M2S"
"U9xV7et4qPk","Пацанки. 5 сезон 6 выпуск","2020-10-29T18:00:03Z","UCsk9ntn2afzIqInnx2jB8gw","Телеканал ПЯТНИЦА","24","20.30.10","пацанки|пацанки 5 сезон|настя петрова|вика лазутина|ксюша прокофьева|костья купер|катя ванышева|юэлла кузнецова|ася митронина|наташа стрельникова|тина франк|алина горб|вероника жукова|наташа гончарова|анжелика лужанская|настя бунина|вера дуванова|школа леди","1059017","55193","1441","10102","https://i.ytimg.com/vi/U9xV7et4qPk/default.jpg","False","False","Смотри выпуски Пацанок без цензуры на PREMIER.ONE https://premier.one/show/9053/season/2020/Пацанки House в TikTok: https://www.tiktok.com/@patsankihouseПодписывайтесь на телеканал Пятница!:TikTok: https://www.tiktok.com/@fridaytvInstagram: https://www.instagram.com/fridaytv ВКонтакте: https://vk.com/friday_ruFacebook: https://www.facebook.com/friday.ruTwitter: https://twitter.com/friday_tvСайт: https://www.friday.ru0:00 - Вступление2:41 - Начало 6 недели3:16 - Первое испытание18:43 - Второе испытание32:29 - Третье испытание40:19 - Поездка на лимузине45:13 - Особняк принца48:53 - Визитки пацанок52:29 - Кулинарное испытание1:01:00 - Испытание на эрудицию1:06:49 - Вечеринка в доме принца1:20:34 - Финальный выгон#пацанки5 #пацанки #пацанкиhouse #пятница","1H37M52S"
"JHvyEB5Kh2s","ГОРИ ГОРИ ЯСНО - LAMBORGHINI","2020-10-29T17:02:53Z","UC-Osiqly2kWjXcB6ElD2iCQ","Дима Гордей","2","20.30.10","lamborghini|гори гори ясно|литвин|литвин мерседес|мерседес|mercedes|литвин поджёг|литвин поджег мерседес|поджег мерседес|литвин сжег мерседес|сжег мерседес|сжег марседес|мерседес горит","1417248","136729","11039","9303","https://i.ytimg.com/vi/JHvyEB5Kh2s/default.jpg","False","False","Подпишись на HARDCORE - https://www.youtube.com/channel/UC1_FrNtrgzFPQVHuwAAR3xQКак вы знаете Литвин на днях сжёг свой Mercedes за 13 миллионов рублей, я решил поджечь свою ЛАМБОРГИНИ!)) Причем это не кликбэйт)) А вообще влог интересный вышел.ТИК ТОК - https://vm.tiktok.com/uf5ayD/Вся инфа сперва появляется в инсте - https://instagram.com/dimagordey/СПАСИБО ВСЕМ за ЛАЙКИ и Поддержку!Почта для сотрудничества по тачке на прокачку -  dima1991gordeev@gmail.comЗАКАЗАТЬ РЕКЛАМУ - dimagordey@wildjam.ru Мой ВК - https://vk.com/dima_gordeyМой второй канал - YOUTUBE.COM/DIMAGORDEYПрисоединяйтесь)#lamborghini #ламборгини #димагордей","15M19S"
"PpJe7mWrCNI","Купил Мерседес W221. Загорелись по дороге","2020-10-29T14:02:03Z","UC7mFtKMM819ZeYiwgbUyy0g","Мастерская Синдиката","2","20.30.10","автосервис|мастерская|ремонт авто|2 друга|сервис с нуля|тачки|как это починить|дубровский синдикат|Вёдра|своими руками|Автослесарь|приколы|авто|машины|тюнинг|реакция|Mercedes|s-klass|Мерседес|БМВ|BMW|X5M|w221|понторезка|сломалась","1155858","89614","1370","5547","https://i.ytimg.com/vi/PpJe7mWrCNI/default.jpg","False","False","Купить масло Castrol у официальных партнеровhttp://www.castrol.com/ru_ru/russia/home/castrol-story/where-to-buy?utm_source=yt&utm_content=x5mПодобрать масло Castrolhttp://applications.castrol.com/oilselector/ru_ru/c/search?utm_source=yt&utm_content=x5mИнтернет-магазин Castrolhttp://shop.castrol.ru/produkty/legkovye-avtomobili/motornye-masla?utm_source=yt&utm_content=x5mПо вопросам рекламы, сотрудничества DubrovskiySyndicate@mail.ru Записаться на ремонт:Вадим - http://instagram.com/vadimslus/Саня - http://instagram.com/tkachdriving/Основной канал: https://www.youtube.com/user/fullluxПсихопаты Синдиката: http://www.youtube.com/c/ПсихопатыСиндикатаЖизнь Синдиката: http://www.youtube.com/c/ЖизньСиндикатаМУЗЫКА ИЗ ВИДОСА: https://vk.com/motorheartstudio","23M30S"
"sbZwsVEA_yk","ВАТЕРФОРК ОБ УХОДЕ ИЗ ДРИМ ТИМА, КОНФЛИКТАХ И ВЫГОРАНИИ","2020-10-29T09:07:02Z","UCD3cxCSDwsNVrOfHHpcqwQA","ПУШКА","24","20.30.10","пушка новости|пушка ньюс|пушка|пушка news|Ватерфорк|waterfork|dream team|тема Пименов|дрим тим|Ватерфорк Пушка","561677","60114","711","4000","https://i.ytimg.com/vi/sbZwsVEA_yk/default.jpg","False","False","300 бонусных рублей в приложении Кухня на районе https://localkitchen.onelink.me/O9JV/ebf063ce по промокоду ПУШКА (для новых клиентов, действует до 1 марта 2021)Тёма Ватерфорк — тиктокер и экс-участник Dream Team откровенно рассказал о своём уходе из хауса, конфликтах с парнями и о том, по кому больше всего скучает из девочек.Почему Артём считает, что «Милохин – фу»?Соцсети Тёмы Ватерфорка:https://instagram.com/waterfork_https://vm.tiktok.com/ZSCBG1uS/Соцсети Ксюши Хоффман:YouTube: https://www.youtube.com/user/TheHoffmanchannelVK: https://vk.com/kseniahoffmanInst: https://www.instagram.com/kseniahoffman/Проект «Пушка» хэдшотит по YouTube и задает острые вопросы главным героям русского видеоблогинга! Раз в неделю ведущая Ксюша Хоффман узнает то, о чем они предпочитают молчать. Эксклюзивные интервью, новости и ранее неизвестные факты лично от блогеров.ПОДПИСЫВАЙСЯ, КАНАЛ ПРОСТО ПУШКАhttps://www.youtube.com/пушка","1H11M25S"
"eM1IvkoBgMc","Вечер с Владимиром Соловьевым от 29.10.2020","2020-10-29T23:40:47Z","UCPkDvaKV6u6FgM650A0pdCA","Вечер с Владимиром Соловьевым","24","20.30.10","поединок|михеев|полный контакт|вечер с владимиром соловьевым|ковтун|жириновский|сатановский|соловьев|вечер|владимир соловьев|россия|армения|азербайджан|карабах|нагорный карабах|сша|германия|путин|трамп|лукашенко|тихановская|беларусь|выборы|америка|интервью|политика|северный поток 2|коронавирус|covid|coronavirus|навальный|санкции|украина|зеленский|европа","392592","9029","1295","1582","https://i.ytimg.com/vi/eM1IvkoBgMc/default.jpg","False","False","Вечер с Владимиром Соловьевым от 29.10.2020Подпишитесь на канал: https://www.youtube.com/c/poedinoktv?sub_confirmation=1Официальный канал ток-шоу на общественно-политические темы: Воскресный вечер с Владимиром Соловьёвым, Поединок.Смотрите также:Вечер с Соловьевым: https://www.youtube.com/playlist?list=PLwJvP0lZee7wGKLURAENUVekHeK0nGO-AВоскресный вечер с Соловьёвым: https://www.youtube.com/playlist?list=PLwJvP0lZee7zYMGBmzUqNn16P71vHzgkUПоединок: https://www.youtube.com/playlist?list=PLwJvP0lZee7w8v4MSf0MftJqoDFW84U4M60 минут: https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTNAsBzZYNiJ3whlTLmyEynСпециальный корреспондент: https://www.youtube.com/playlist?list=PLDsFlvSBdSWfD19Ygi5fQADrrc4ICefyGВести в субботу с Брилевым: https://www.youtube.com/playlist?list=PLLHjKKyQ4OaRo7DdFmy7lHQColWVXH5MlВести недели с Киселевым: https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTpipoWQNR1ya5zp19Gc4ZB60 минут: https://www.youtube.com/playlist?list=PLLHjKKyQ4OaTNAsBzZYNiJ3whlTLmyEynВести в 20:00: https://www.youtube.com/playlist?list=PLLHjKKyQ4OaQNfEVb1ssl-yu2dGPLLS7rПолный контакт: https://www.youtube.com/playlist?list=PLwJvP0lZee7wpRxjb7FJmCQviusTNisFk","3H35S"
"0MCDEOSr7Tk","Российско-Турецкий Гамбит. От Карабаха - снова к Донбассу? | Быть Или","2020-10-29T12:20:59Z","UCIpvyH9GKI54X1Ww2BDnEgg","Быть Или","29","20.30.10","Быть Или|быть или не быть|маска|snm bkb|не здороваюсь|бытя|bit ili|Первое слово|политика|Путин ложь|Путин|Медведев|Он Вам Не Димон|Коррупция|Разоблачение|россия|Карабах|Сирия|Ливия|Карабах Армения|Армения переговоры|Азербайджан переговоры|Карабах мир|Арцах|Карабах Россия|Путин о Карабахе|Турция Азербайджан|Трамп о Карабахе|Байден о Карабахе|Байден Трамп|Выборы в США|Турция США|США Россия|Конфликт в Карабахе|Карабах сегодня|Новости Сегодня|Соловьев","181500","30403","846","3478","https://i.ytimg.com/vi/0MCDEOSr7Tk/default.jpg","False","False","Важно! Тут будет интересно: https://t.me/joinchat/AAAAAFHyPstwCig9SeYIuQ Мой Телеграм: https://tele.click/ToBeOr_OfficialТема Нагорного Карабаха уже сошла с первых полос газет. Однако лишь по истечении некоторого времени можно яснее увидеть полную картину происходящего. Кто главный интересант - Турция, Россия, США? Или это действительно долгожданная развязка, казалось бы, вечного конфликта между Арменией и Азербайджаном? И увидим ли мы в скором времени договор между Николом Пашиняном и Ильхамом Алиевым? Давайте попробуем разобраться.","39M5S"
"x-zRSJEYqVQ","Трудные подростки | 2 сезон 4 серия | more.tv","2020-10-29T09:00:11Z","UCDalvE0aK5bHg7W4HVoXPRg","more tv","1","20.30.10","more|moretv|more.tv|videomore|моретв|лучший онлайн кинотеатр|трудные подростки|эйфория|сериал|школа|euphoria|скам|скинс|skam|skins","694699","39778","563","1254","https://i.ytimg.com/vi/x-zRSJEYqVQ/default.jpg","False","False","«Трудные подростки» возвращаются со вторым сезоном! Новые серии смотри на more.tv в понедельник, а на нашем YouTube-канале в четверг ❤️ Подписывайся на официальный аккаунт сериала в инстаграм: https://instagram.com/trudnyepodrostkiИ ВКонтакте: https://vk.com/trydnyepodrostkiАнтон Ковалев – освобожденный после двух лет заключения футболист. В прошлом — известный и успешный спортсмен, капитан сборной России, в настоящем человек, от которого отвернулись все близкие и друзья, безработный. Срок свой он получил за пьяный дебош в кафе, обернувшийся дракой с причинением тяжких телесных повреждений. Герман — руководитель центра для трудных подростков, товарищ Антона, единственный человек, который не оттолкнул после случившегося. От безысходности Ковалев соглашается подготовить воспитанников центра к соревнованиям, не подразумевая, что в будущем эти странные, агрессивные и неординарные дети станут для него в итоге самыми близкими и важными людьми. В главных ролях: Никита Волков, Вильма Кутавичюте, Виталий Андреев, Анастасия Крылова, Тимофей Елецкий, Владимир Гарцунов, Святослав Рогожан, Алёна Швиденкова, Мила Ершова, Глеб Калюжный, Сергей Новосад.📍 Подписаться на канал: https://www.youtube.com/c/moretvofficial/?sub_confirmation=1Наши соцсети: 📍 ВКонтакте: https://vk.com/itsmoretv📍 Одноклассники: https://ok.ru/group/55370568040686📍 Facebook: https://www.facebook.com/itsmoretv/📍 Instagram: https://www.instagram.com/itsmore.tv/📍 Twitter: https://twitter.com/itsmoretv#трудныеподростки","24M9S"
"cQhZI4lYrCc","ИРП Заключенных против ФСИН!  Мнение авторитета! ГОД просрочки!","2020-10-29T13:49:44Z","UCd72TnBJrgjj631Ajk2Nf7w","Видео от SoLiDa","24","20.30.10","ИРП|сухпай|сухой паёк|ФСИН|ФСБ|тюремный|тюрьма|солид|посадили|срочно|Россия|Беларусь|белорусь|сравнение|зек|полиция|видео от солида|видео от салида|салид|в тюрьме","313542","30485","597","1975","https://i.ytimg.com/vi/cQhZI4lYrCc/default.jpg","False","False","Cкачать игру: https://nextrp.ru/solidПромокод SOLIDTOP200 активацийСтартовый пакет:- рем. комплект- аптечка- карточка выхода из тюрьмы- премиум аккаунт на 1 день- канистра бензина► Группа ВК - https://vk.com/club_solid► ПОДПИСЫВАЙСЯ НА МОЙ КАНАЛ - https://goo.gl/at6fcL► МОЙ LIFE канал  - https://goo.gl/ZR9ytP► МОЙ Инстаграм - https://www.instagram.com/solid_video/=Реклама и СОТРУДНИЧЕСТВО= https://vk.com/topic-52233828_32564647 ► ВСЕ ОБЗОРЫ НА ИРП - https://goo.gl/bTCFo2► КАК СНИМАЛИСЬ ОБЗОРЫ - https://goo.gl/9uIrtT ► ВЫЖИВАНИЕ, ЭКСПЕРИМЕНТЫ, ПОХОДЫ - https://goo.gl/YSDeT3► СТРАЙКБОЛ - https://goo.gl/MZa1sW► ОБЗОРЫ ИГР - https://goo.gl/bVmqf8 ► ВСЕ ПЛЕЙЛИСТЫ - https://goo.gl/7RJF2SМой комп: (чтобы 100 раз не отвечать =)Процессор: I7 - 9700KМатеринская плата: ASUS S1151-2 ROG MAXIMUS X HERO Оперативная память: DDR4 32 GGb 4000 MHz Kingston HyperXВидеокарта Gigabyte RTX 2080TI  11 GbНакопитель: SSD 500 Gb Samsung 860 EVOЖесткий диск: HDD 2000 Gb Seagate FireCudaКорпус: NZXT H700i Блок питания: 750W Super Flower Leandex II Gold Система охлаждения: NZXT Kraken X72МОНИТОР -  Dell","27M59S"
"W19m0DNFZBg","Я ПОДАРИЛ ДОМ! Не смог сдержать слезы...","2020-10-29T09:04:47Z","UCbh7BxJWCMnWLwJ-traa6Wg","DAVA","22","20.30.10","dava подарил дом|ДАВА подарил дом|новое видео давид манукян|новое видео дава|канал дава|подарил дом семье дава|Я ПОДАРИЛ ДОМ|Не смог сдержать слезы...|DAVA|дава|новый дом|построил новый дом|построил дом|дава построил дом|дава построил новый дом|дом для семьи|ПОДАРИЛ ДОМ|ДОМ","545566","45022","2512","4206","https://i.ytimg.com/vi/W19m0DNFZBg/default.jpg","False","False","Спасибо Picnic за поддержку: http://съешьменя.comСсылка на клип: https://youtu.be/pPGgO7xaX3oМы сделали с вами одно общее доброе дело! ТЕпрь эта семья имеет крышу над головой! Спасибо каждому из вас!Приятного просмотра! Жду ваши осознанные комментарии! Отвечаю лично на каждый ваш вопрос и критику. Люблю и ценю каждого из вас. Ваш DAVA_MЯ ПОДАРИЛ ДОМ! Не смог сдержать слезы...#davaподарилдом #домсгорел #смилгут --------------------------------------------------------------------------------------ИНСТ DAVA:    https://www.instagram.com/dava_mТИКТОК:          https://www.tiktok.com/@dava_mВК:                     https://vk.com/dava54ВК группа:       https://vk.com/dava-------------------------------------------------------------------------------------","11M20S"
