video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"H9nRt-DWNKI","【ヤバ嫁】旦那の単身赴任中に彼氏を作って突然家に連れこんでみたwww【手越くんコラボ】","2020-10-18T11:00:04Z","UColoXxvhfz54o0icqQRPzYw","しばなんチャンネル","24","20.19.10","しばゆー|あやなん|ポンス|しばなん|しばなんチャンネル|東海オンエア|キッズチャンネル|子どもが喜ぶ|ダンス|踊り|歌|ピアノ|新婚|カップル|ドッキリ|モニタリング|高校生|妊娠","1437525","45205","1793","2062","https://i.ytimg.com/vi/H9nRt-DWNKI/default.jpg","False","False","いつも動画見てくれてありがとうございます♡ぜひチャンネル登録お願いします（＾＾）手越祐也チャンネル→ https://www.youtube.com/channel/UCSEoj94-efoQhREyRWRySKA【♡サブチャンネル♡】「しばなんといっしょ」でゆるい日常を公開中！ぜひチャンネル登録してね〜！！！→https://www.youtube.com/channel/UCAne8GG-iUcTzUkpQG4N7jw【♡問い合わせ♡】お仕事依頼、イベント出演依頼はこちらから！→shibanan.channel@gmail.com【♡twitterアカウント♡】あやなん → https://twitter.com/ayachan0619しばゆー Twitter → https://twitter.com/UKUN_PAPA【♡instagramアカウント♡】あやなん→https://www.instagram.com/ayachan_0619【ファンレター・プレゼントの送り先】少々お待ち下さい！！"
"4X-EvOYVttI","GACKTがカジサックの芸人力をチェック！！","2020-10-18T10:47:18Z","UC4Zyu8fXoss8fnCraoqVprA","がくちゃん GACKT official YouTube","24","20.19.10","gackt|ガクト|がくと|格付け|一流芸能人|YOUTUBER|MALICE MIZER|マリスミゼル|トレーニング|すべらない話|シンソウ坂上|Poker|KHAOS|GACKTの勝ち方|GACKTの負け方一流|ワイン|ガクザップ|YOSHIKI|ビジュアル系|HYDE|ラルクアンシエル|英語|英会話|English|塾|外国語|学校|７月４日|誕生日|バースデー|Birthday|マレーシア|映像編集|Mac|adobe","306969","8575","928","918","https://i.ytimg.com/vi/4X-EvOYVttI/default.jpg","False","False","GACKTが『はねトび』以来、久しぶりの再会となるカジサックと初コラボ！カジサックの芸人力が試される！↓↓↓カジサックチャンネルとのコラボ前編はこちら↓↓↓https://youtu.be/SY4OvfbX5x0↓↓↓カジサックチャンネル↓↓↓https://www.youtube.com/channel/UC642pLj4GXSj-0Ybdx3ytmA★ニコニコ生放送新番組「GACKTと一緒に家呑み!!」毎週土曜日22時配信中！お酒を飲みながらゲストを迎えてのココだけの90分生配信！http://ch.nicovideo.jp/gackt★YOUTUBEGACKT Official NEW&Official VIDEOShttps://www.youtube.com/GACKTofficial/★インスタグラムhttps://instagram.com/gackt★ツイッターhttps://twitter.com/gackt★17Livehttps://17.media/share/profile/7bab35a0-5cb8-4d64-b046-ca9d570b13ab?lang=ja★GACKTLINE公式アカウントhttp://line.naver.jp/ti/p/%40gackt★Facebookhttps://www.facebook.com/GACKTOfficialpage"
"oU6Du1nrjJk","しばなんの家で１日パパ生活をすることになったよ","2020-10-18T11:00:10Z","UCSEoj94-efoQhREyRWRySKA","手越祐也チャンネル","22","20.19.10","手越祐也|手越|祐也|テイ！|記者会見|しばなん|ポンス|家族|ファミリー|子育て|子供|夫婦|カップル|かわいい","1068392","50674","956","1859","https://i.ytimg.com/vi/oU6Du1nrjJk/default.jpg","False","False","しばなんチャンネルはこちら！https://www.youtube.com/channel/UColoXxvhfz54o0icqQRPzYwチャンネル登録はこのリンクをテイ！ → http://www.youtube.com/channel/UCSEoj94-efoQhREyRWRySKA?sub_confirmation=1ファンクラブ登録 受付中https://www.yuyategoshi.com手越祐也オフィシャルTwitterhttps://twitter.com/YuyaTegoshi1054手越祐也 ファンクラブ公式Twitterhttps://twitter.com/yuyategoshi_fc手越祐也オフィシャルInstagramhttps://www.instagram.com/yuya.tegoshi1054ファンレター宛先〒107-0052東京都港区赤坂5-5-9赤坂スバルビル1F MBE119手越祐也宛お問い合わせは下記へinfo@tegoshi.bizチャンネル管理人 高橋さんのTwitter：https://twitter.com/takahashisan69#手越祐也"
"riD2L1Q_oqI","Vol.83【殴られ屋に元世界王者が挑戦状！】レジェンド王者はパンチを何発当てられるか!? まさかの結末に！","2020-10-18T09:00:17Z","UCKKK9zISB9DSgHyEKCoCAAQ","渡嘉敷勝男&竹原慎二&畑山隆則 公式チャンネル","24","20.19.10","#渡嘉敷勝男|#竹原慎二|#畑山隆則|＃世界チャンピオン|#ボクシング|＃ぶっちゃけ|#ほろ酔いぶっちゃけトーク|殴られやKENJI","287545","4539","131","466","https://i.ytimg.com/vi/riD2L1Q_oqI/default.jpg","False","False","殴られ屋KENJI さんのチャンネルはこちらhttps://www.youtube.com/channel/UC0yjJhXKaBs8rQiOSc9p7tQコラボ動画はこちらhttps://youtu.be/nCtvqvUmE1U■挿入歌　「オヤジのロケンローBoxingVer」　https://www.youtube.com/watch?v=FWtxjYgxtzM■渡嘉敷勝男＆竹原慎二＆畑山隆則 公式チャンネル　更新：木曜日19時／日曜日18時の週２回配信予定(変更あり)　※コラボなど、場合によって不定期配信も可能性あり■渡嘉敷勝男＆竹原慎二＆畑山隆則 YouTube公式チャンネルに　関するお問い合わせ(コラボ企画、企業案件)は、　以下からお願いいたします。　https://forms.gle/dcWKRTgAsWDUiv9WA■撮影場所竹原慎二&畑山隆則 ボクサフィットネスジム〒143-0016 東京都大田区大森北1-37-2小林ビル2Fhttp://box-fitness-gym.com■渡嘉敷勝男＆竹原慎二＆畑山隆則 YouTube公式ツイッター     https://twitter.com/boxing_3cyamp?s=06■渡嘉敷勝男＆竹原慎二＆畑山隆則 YouTube公式インスタグラム　https://www.instagram.com/boxing3champ/■渡嘉敷勝男＆竹原慎二＆畑山隆則公式チャンネルでは　３人の元世界チャンピオンにこんな話が聞いてみたい！　質問やリクエスト大募集！　k.lucky.one.KK@gmail.com■「渡嘉敷勝男公式」トカちゃんねる はこちら     https://www.youtube.com/channel/UC73L2dX26WmXBjTjBVH6EVA■ 竹原テレビはこちら　https://www.youtube.com/channel/UCQXwvYkiHyEfzV66-fols3w■選手などの情報、データに関しまして　収録時と異なることもありますがご了承ください■【ぶっちゃけチャンネル】Tシャツ発売開始！（ご購入はコチラ）ECサイト（BASEショップ）・・・   https://exap222.thebase.in/categories/2600710   ■過去の動画【元３階級制覇王者 八重樫東とぶっちゃけトーク】https://youtu.be/XqyAJW6ifBM八重樫チャンプコラボ第１弾【時を超えたドリームマッチ 渡嘉敷勝男vs八重樫東】https://youtu.be/l7ADMoZaf_E【ボクシング界を牽引する若きスターの最新情報】https://youtu.be/-GzbiqiUS-Y【第１回ババ抜き王選手権】https://youtu.be/xJYm58srdXM【視聴者の質問に答えます／重大発表もあり！】https://youtu.be/rC0w12WHZ38【天才マジシャンのスゴ技vs世界王者の動体視力】https://youtu.be/a8w2L_O1J6c【最新ボクシングNEWS】https://youtu.be/Ec-4e8Yw1s4【瓦割りの記録にチャレンジ！】https://youtu.be/qDNeXSNf85A【ボクシング大国！メキシカンボクサーの強さ!?】https://youtu.be/tYbTcFCP-d4【ウィキペディア真偽検証／延長戦】https://youtu.be/LlWv-Hnucfs【wikipediaの真偽を検証① 】https://youtu.be/6fMZER9bWxg【レジェンド王者・ガッツ石松 伝説 最終章】https://youtu.be/Maz_90zE_04【レジェンド王者・ガッツ石松伝説 第２弾】https://youtu.be/cAGH5l9G7Sc【レジェンド王者・ガッツ石松 伝説の真偽とは!?】https://youtu.be/O5aRbv5_1RI【内山高志チャンプとコラボ第２弾】https://youtu.be/PVStuxHRp3A【夢のスパー対決！ 畑山隆則vs内山高志】https://youtu.be/L47w6vAyGgg【10万人突破記念！銀の盾が届きました！】https://youtu.be/Xz9cs_27Fwo【竹原チャンプ＆畑山チャンプ 苦悩時代を大告白！】https://youtu.be/gW4iqOJLDA0【新旧世界王者 パンチングマシーン対決】https://youtu.be/Xgyxm-jliF8【京口紘人選手と新旧世界王者対談】https://youtu.be/OJxM7OWJ_G0【公約実行！渡嘉敷チャンプの断髪式で大トラブル？】https://youtu.be/5lNz2o5Yplo【体内時計対決！罰ゲームの激辛やきそばは誰が？】https://youtu.be/Ud_NB6jRzqM【朝倉未来選手とぶっちゃけトーク】https://youtu.be/BbkRX51IRfk【朝倉未来選手とぶっちゃけトーク第２章】https://youtu.be/-XVzOyGAwoY【番外編】初コラボ 渡嘉敷×飯田https://youtu.be/pdzRGO2oF6Y■コロナに負けるなボクサーコメントリレー【コロナに負けるな！】レジェンドボクサーコメントリレーhttps://youtu.be/JUkKDQVRueEコメントリレー第２弾https://youtu.be/aawneQuSHokコメントリレー第３弾https://youtu.be/-aG1m3S2EIc※渡嘉敷勝男＆竹原慎二＆畑山隆則公式チャンネルでは、　【コロナに負けるな！】レジェンドボクサーコメントリレーシリーズの　収益は全て、然るべき団体に寄付します。#レジェンド王者、#殴られ屋KENJI、#神回"
"G_A4mMF80Vo","BAD HOP WORLD Release Online Live","2020-10-18T13:14:41Z","UCcb0Ixexedx7eXLzgYZh6bg","BAD HOP","10","20.19.10","BAD HOP|T-Pablow|YZERR|Tiji Jojo|Bark|G-k.i.d|Yellow Pato|Vingo|Benjazzy|ZEPP|ZEPP 横浜|BAD HOP WORLD|DJ Chari|川崎|Bayside Dream|The Laed|Round One|BATMAN|Project Boy|18|May Day|JET|Double Up|ICHIMANYEN|Chop Stick|Super Wave|Choice|High Land|Foreign|Kawasaki Drift|Hood Gospel|ライブ配信|Super Chat|Lift Off|無料オンラインライブ","230286","7995","114","428","https://i.ytimg.com/vi/G_A4mMF80Vo/default.jpg","False","False","BAD HOP WORLD Release Online Live2020.10 .18(SUN)START : 20:00 ~ CLOSE : 21:30ZEPP横浜の会場内に全8ステージを設営して行われたオンラインライブ！スーパーチャット機能を使ってあなたがこのライブに値段をつけてください!!【スーパーチャットお支払い方法】・クレジットカード  / PayPal  / VISA バンドルカード / iTunesカード※iTunesカード、VISAバンドルカードを使用する方は事前にチャージが必要となります。--------------------------------------------------------------------------------------------------------------------------------------------------------------【オフィシャルグッズ内容】全5種類から選べるOFFICIAL MERCHANDISE Tシャツ1枚にタオル1枚がついた4000円の期間限定セットに加え、さらに購入特典として、購入者全員に無料でライブDVDが付属されます。この後2020/10/18/22:00より下記専用サイトにて販売開始！！https://www.badhopworld.com【3rd ALBUM BAD HOP WORLD】https://linkco.re/SfdD3nb9【New EP Lift Off】https://linkco.re/eN04cyfS--------------------------------------------------------------------------------------------------------------------------------------------------------------〈Video Staff〉 Director: Hideto HottaDirector of Photography: Koretaka KamiikeSteadycam Operator: Yasutomo Kevin YoshidaFocus: Ken NakanoLive Camera: Kiyoyuki Asakura, Yuto Sasaki, Shogo KataokaGrip: Kaoru Hashimoto, Yudai Usa, TARUTARUAssistant Camera: Shoji Takada, Mayuko Suzuki, Takumi YamasakiLighting Planner: Yusuke Honda (AKARICENTER inc.)Lighting Director: Motoki TanakaBest Boy: Keita Inagaki (AKARICENTER inc.), Naoyuki KatagiBoard Operator: Wataru Ehara (AKARICENTER inc.)Electrician: Kohei Mori (AKARICENTER inc.), Narumi Ogawa (AKARICENTER inc.), Sayaka Mori, Issei Watanabe, Yasuhiro Yoshida, Ryosuke Abe, Daiki TanakaLighting Equipment: SHUHEI inc.Production Designer: Shu Nakama (SUI)Production Designer Chief: Daisuke Inoue (SUI)SceneShifter: Nao Oritani (fake)Prop Stylist: Haruka Niizeki, Shuhei ShibayamaAssistant Prop Stylist: LIUKOBOGraffiti: 鬼頭(ACC)Edit: Hideto HottaMotion Graphics: Una AbeEnd Credits: Akemi OkamotoColorist: Hajime KatoFOH Engineer: Atsushi Kakuta (flagship)MONITOR Engineer: Yuichi KondoAuto-Tune Engineer: Akiko KawaharaLive Recording: KOBAKENBack DJ: DJ CHARIPhotographer: cherry chill will.Making Camera: negistagMake Up: Mei NodaAssistant Director: Leo Iizuka, Yumi MochizukiCasting: Lilhoneyprincess, Hana Patterson (GROUNDRIDDIM)Cast: Ayumi Isabel, Lilhoneyprinces, ARI, Ni-Na, BLUE BABY, Ririka, Aja, ARIMIPromoter: Kentaro Yanagisawa(Allows), Kazuyuki Tanabe (CITTA’WORKS)Production staff: Makiko Okada (New Rich Entertainment), Yohei Tozawa (SUGATA), Kodai Yamamoto (SUGATA)Producer / Artist Manager: Renichi Murakoshi (New Rich Entertainment)Location: KT Zepp YokohamaProduced by BAD HOP"
"RNTa4a263Qc","【全員集合！】アルバムがついに完成！？絶対に間違えてはいけない以心伝心ゲーム！！！【すとぷり公式生放送！】","2020-10-18T13:06:27Z","UCdB5vhQORw9HeiF82IYLnjw","すとぷりちゃんねる","24","20.19.10","すとぷり|すとろべりーぷりんす|さとみ|ころん|ジェル|るぅと|莉犬","413248","35705","266","453","https://i.ytimg.com/vi/RNTa4a263Qc/default.jpg","False","False","今日の放送ももりだくさん！お楽しみにーっ！----------------------------------------------🍓すとぷりおすすめオリジナル楽曲！🍓【妖怪学園Y】大宇宙ランデブー／すとぷり🍓【ナユタン星人】https://youtu.be/sB7X6EtVtgo【MV】スキスキ星人／すとぷり🍓【ナユタン星人】https://youtu.be/FmG1Sbb2n0A【MV】マブシガリヤ／すとぷり🍓https://youtu.be/Ew-1wGKTyHw----------------------------------------------🍓すとぷりめんばーのちゃんねる！🍓🍓莉犬 / 赤色担当！🍓https://www.youtube.com/channel/UCpcGAVuBSJEFs48MBxhf9eg🍓さとみ / ピンク担当！🍓https://www.youtube.com/channel/UC-1uvY3U4sMSGi52IcT_fWQ🍓ジェル / オレンジ担当！🍓https://www.youtube.com/channel/UCE0UZVTfvQ8jiNxdIlLeWeA🍓ななもり。/ ムラサキ担当！🍓https://www.youtube.com/channel/UClqEh59SFJVyKU0RIhFBJ3A🍓ころん / 水色担当！🍓https://www.youtube.com/channel/UCJtMfSSPKuW22GXfkaN7DOA🍓るぅと / 黄色担当！🍓https://www.youtube.com/channel/UC26AciTXULvcABdrWbaeL8Q----------------------------------------------🍓すとぷり公式サイト！🍓https://strawberryprince.com/🍓すとぷりグッズ公式通販サイト！いちごのおうじ商店！🍓https://stpr-official.com/store/🍓すとぷり公式LINE!!🍓http://nav.cx/1st7MTn🍓Twitter🍓https://twitter.com/StPri_info🍓TikTok🍓https://www.tiktok.com/@stprinfo🍓Instagram🍓https://www.instagram.com/strawberryprince.info/----------------------------------------------"
"A6kSf-5R_5c","ONE OK ROCK – Wasted Nights (LIVE AT BLARE FEST.2020)","2020-10-19T00:00:01Z","UCzycs8MqvIY4nXWwS-v4J9g","ONE OK ROCK","10","20.19.10","ONE OK ROCK|ワンオク|ワンオクロック|Taka|Toru|Ryota|Tomoya|バンド|OOR|ロック|Japan|J-Rock|rock band|Japanese Band","154079","19198","63","768","https://i.ytimg.com/vi/A6kSf-5R_5c/default.jpg","False","False","The live video clip of Wasted Nights from BLARE FEST.2020.BLARE FEST. HPhttps://blarefest.com/#BlareFest#ブレアフェス#ONEOKROCKFollow ONE OK ROCK on...Facebook: https://www.facebook.com/ONEOKROCK/Instagram: https://www.instagram.com/oneokrockofficial/Twitter: https://twitter.com/ONEOKROCK_japanMore to follow...Taka: https://www.instagram.com/10969taka/Toru: https://www.instagram.com/toru_10969/Ryota: https://www.instagram.com/ryota_0809/Tomoya: https://www.instagram.com/tomo_10969/Official Website: https://www.oneokrock.com/Official Web Store: https://www.asmart.jp/oneokrock_store_ProductList.aspx?shop=0&cat=100112&dcnt=12"
"u03_oj5z3wo","10000尾に一匹。とんでもない『天然のサーモン』を買ってしまいました。","2020-10-18T11:27:47Z","UCaak9sggUeIBPOd8iK_BXcQ","きまぐれクックKimagure Cook","24","20.19.10","捌き方|料理|釣り|かねこ|さばき|魚|さかな|きまぐれクック|にしやん|トミック|SASHIMI|刺身|塩焼き|煮つけ|fishing","1405291","23766","846","2978","https://i.ytimg.com/vi/u03_oj5z3wo/default.jpg","False","False","Dear Oversea Viewers,  Thank you for watching my video everytime.  I would like you to know more about our Japanese seafood. Because Japan is a country surrounded by the seas, various seafood gather here.We will continue to add English subtitles from past videos time to time. It might take a while to complete all videos but please wait.   Again, thank for watching my Video and I really appriciate you!(海外視聴者の皆様、いつも動画見てくれてありがとうございます！日本のシーフードの魅力をもっともっと知ってほしい。日本は海に囲まれた国。いろんなシーフードが集まります。 英語字幕を随時過去の動画からつけています。 少しペースは遅いですが、待っててください。  いつもありがとう！感謝します。)☆セカンドチャンネル⇒https://www.youtube.com/channel/UCEAvwlv0ZtJrSsgaA2CewOw☆lineスタンプ⇒https://store.line.me/stickershop/product/4908608☆Twitter⇒https://twitter.com/Kneko__☆インスタグラム⇒https://www.instagram.com/kimagure.cook/?hl=ja☆tiktok⇒https://vt.tiktok.com/Rupt5R/☆オリジナルグッズ⇒https://kiii.theshop.jp/☆プレゼント、お手紙などの宛先はこちら(※生物、冷蔵便は受け取りができません)〒150-0031東京都渋谷区桜丘町20-1渋谷インフォスタワー17階「株式会社Kiii きまぐれクック」宛☆お仕事の依頼等⇒ https://kiii.co.jp/contact/☆音源：http://dova-s.jp/"
"wjbuvMHaCgI","【MV】ひともどき／まふまふ","2020-10-18T09:00:27Z","UCOTR1tcOAhjgi6YukrPpZxg","まふまふちゃんねる","10","20.19.10","まふまふ|ひともどき|歌い手|歌ってみた|hitomodoki|mafumafu|音楽|PV","743182","67027","248","7245","https://i.ytimg.com/vi/wjbuvMHaCgI/default.jpg","False","False","ただ　人で在りたいBass　白神真志朗Drums　新保恵大Recording Engineer　yasu(Tinkle-POP)Music/Lyrics/Mix　まふまふ　https://twitter.com/uni_mafumafu---------MVDirecter：まふまふAssistant Director : モリカツ（https://twitter.com/KATS_MORI）Director of Photography : 松浦弘二Camera Assistant : 鶴原優子Lighting Director：山本剛 (DOING)Creative Director : 浅井正明 (ICHIZIKU)CG Directer : 青木史耕 (ICHIZIKU)Compositor : 波多柾之 (ICHIZIKU), 矢追裕子 (ICHIZIKU),  雄勝光佑Animation Director :  畳谷哲也(HOTZIPANG) Animator : 太田将人(アスラフィルム), Pmats9(COOVO),  G子, ZECINIllustrater : 茶々ごまMotion Model：三矢禅晃, 白神真志朗, 新保恵大Producution Maneger : 井戸雄大 (OKNACK)『ひともどき』気まぐれに鳴り出す君のせいで　笑いたい日々から退場遠のいた天井に縋ってる人もどきは今日も息を吸って　笑えない日々だけ観賞これがボクの人生です鋭利な刃物の深い傷より知らずに開いた　心の穴が痛いよ気づいたよ　辞書に名もないようななり損ないだろう知ってたまるもんか人の形で人になれずに呪って恨んだ世界を　愛してしまったこの心臓が脈打つだけの　覚めない夢を見ているボクを　ひともどきと呼ぶ誰にも言えないことを増やした　人らしい心の証明ねえ　ボクはこんなんさ　わかってよ嫌ってもらっても構わないや　恨んでくれないか君もボクを覚えてくれましたか？愛とか未来とか　どこかで馬鹿にした耳障りな言葉どんなに　どんなに　強がって歌ったって穴開いた両目にあふれていく寂しいよもうどうしようもないくらいに　今日に縋ってしまった失うことが怖くなるような　優しい夢を見ているボクを　ひともどきと呼ぶ気まぐれに鳴り出す君のせいで　笑いたい日々から退場遠のいた天井に縋ってるならば　どうか　あのガラクタみたいに蹴とばして　踏んでくれたならいいのに人の形で人になれずに呪って恨んだ世界を　愛してしまった優しい人の人になれずに　この命を愛してしまった心臓よ　心臓よ　いっそ止まってほしかったボクをひともどきと呼ぶ#まふまふ"
"x3B-tbkTFiw","かっこつけすぎ！？コスプレして奇跡の1枚撮ってみた！","2020-10-18T09:00:28Z","UCA_t0trBs1Fcb6U4HeUGT4g","浦島坂田船公式チャンネル","24","20.19.10","うらたぬき|志麻|あほの坂田|となりの坂田|センラ|うらしまさかたせん|歌い手|歌ってみた|もじおこし|文字起こし|げつらじ|urasimasakatasen|usss|uratanuki|shima|ahonosakata|senra","218626","27797","116","3216","https://i.ytimg.com/vi/x3B-tbkTFiw/default.jpg","False","False","【本編】YOUTUBE毎週月曜日21時頃～生放送「浦島坂田船のげつようび。」チャンネル登録・高評価よろしくお願いします！■浦島坂田船 うらたぬき Twitter ： https://twitter.com/uratasama Youtube：https://www.youtube.com/channel/UClaxMaRbq4onTU-YYnAs-xQ志麻 Twitter ： https://twitter.com/shima_s2 Youtube：https://www.youtube.com/channel/UCDIWpMZKXTng4mT4eMF5oTA坂田 Twitter ： https://twitter.com/sakatandao Youtube：https://www.youtube.com/channel/UCvOX0NWMvYrgSV15vuxV4Pgセンラ Twitter ：https://twitter.com/sen_sen_sen_sen Youtube：https://www.youtube.com/channel/UCGQg0ZjM_QQ2jvUd5j9Fp-Q浦島坂田船Twitter ： https://twitter.com/USSS_info使用楽曲：DOVA-SYNDROME(https://dova-s.jp/)"
