video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description,duration
"4CAzbmorOsI","León [3-2] América | Juego completo | Apertura 2020 | Jornada 14 | Liga MX","2020-10-20T04:46:37Z","UCqfCJBfrFSO4tZM1LNZTBFQ","Marca Claro","17","20.20.10","Deportes|Videos de deportes|MARCAClaro|MARCA Claro|Noticias de deportes|leon vs america|leon america|leon america en vivo|leon en vivo 2020|leon america 2020|leon america partido en vivo|leon aguilas america 2020|leon america apertura 2020|leon america guardianes 2020|leon america liga mx|liga mx|futbol|futbol mexicano|america|aguilas del america|partidos leon en vivo|leon|la fiera|marca claro en vivo|partido del america","1391802","14674","789","35","https://i.ytimg.com/vi/4CAzbmorOsI/default.jpg","False","False","La Fiera del Club León recibe la visita de las Águilas del América en un gran partido de la jornada 14 del Guardianes 2020 de la Liga MX. León y América querrán seguir sumando en este torneo, con miras a la parte alta de la clasificación, para así asegurar su clasificación a la Liguilla del torneo Apertura 2020 del fútbol mexicano.http://bit.ly/2YAWO4p SUSCRÍBETE y mantente informado con las últimas noticias del mundo deportivo¡Acá todo sobre la Liga MX!https://www.youtube.com/playlist?list=PLBpuIdeeb2X4FryYwBzrHjvSHPvoA_yTx¡Todo sobre el León está aquí!https://www.youtube.com/playlist?list=PLBpuIdeeb2X44r7suS8n8RmHW2Q5evGPF ¡Visita www.marcaclaro.com para más información!¡Síguenos en nuestras REDES SOCIALES! ►Twitter: https://twitter.com/MarcaClaro►Facebook: https://www.facebook.com/marcaclaro/►Instagram: https://www.instagram.com/marcaclaro/","PT3H2M33S"
"Q4wgZOaWtsg","QUIEN CONOCE MÁS A JUAN DE DIOS PANTOJA 😱(Super trucha vs Kimberly Loaiza)","2020-10-20T00:05:12Z","UCrRA_qpW3eQ4vfuwBCr7JMw","El Super Trucha","23","20.20.10","EL|SUPER|TRUCHA|RISAS|DIVERSION|COMEDIA|TEAMJUKI|JUKILOP|JUAN|DE|DIOS|PANTOJA|KIMBERLY|LOAIZA|SOYFRANCISCOALV|TRUCHITAS|MEXICANO|MEXICO|VIDEO|NUEVO|TENDENCIA|MALUMA|PREATY|BOY","916253","114605","1163","5014","https://i.ytimg.com/vi/Q4wgZOaWtsg/default.jpg","False","False","HOLA TRUCHITAS GRACIAS POR VOLVER A VERME SE QUE ES ALGO FACIL ;) COMENTA QUE MAS QUIERES VER EN ESTA PECERA  Te dejo mis redes🐟 🐟 INSTAGRAM: https://www.instagram.com/elsupertruc...🐟 FACEBOOK: https://www.facebook.com/profile.php?...🐟 YOUTUBE: https://www.youtube.com/c/ElSuperTruchaCONTACTO PARA VENDERME VILMENTE A LAS MARCAS: ELSUPERTRUCHA@GMAIL.COM Recuerda yo soy el verdadero pretty boy.","PT31M50S"
"utfXVgrt9TE","LA REVELACIÓN DEL SEXO DE BEBÉ + VLOG | La Familia Niño: Sofía Donoso, El Javetas y Blanchelle","2020-10-20T01:27:53Z","UCKqR-PXhyI3ZHjfOFb2NbXA","Los Niño","22","20.20.10","[none]","603007","56706","756","2733","https://i.ytimg.com/vi/utfXVgrt9TE/default.jpg","False","False","¡Hola chicos! 🤍AL FIIIIIIN podemos enseñarles el video de nuestra revelación🤭 ¡No saben cuánto nos emociona!Les compartimos uno de los momentos más especiales en nuestras vidas, desde el fondo de nuestro corazón.Gracias por TODO el apoyo que nos han dado, su cariño y amor.🤍 ¿Qué parte les gustó más?⬇️Esperamos que les guste mucho nuestro contenido y se sucriban, ya que todo lo que ven en otras redes sociales, lo podrán ver más a fondo aquí🙊Queremos agradecerles por todo su cariño para nuestra familia y nuestr@ bebé que viene en camino🙏🏼 ¡Los amamos!❤️Nuestras redes sociales:@sofiadonosol@eljavetas@blanchelleoficial(En todas las redes sociales)Contacto directo:contactoninodonoso@gmail.comcontactosofiadonoso@gmail.comcontactoeljavetas@gmail.com","PT10M21S"
"nmtHlCMdgBc","Murió Daniel Urquiza, el Estilista de las estrellas se habría suicidado","2020-10-20T03:30:17Z","UCKuAmo9OGf8kw2jrPWCpHdA","TelediarioMx","24","20.20.10","Telediario|multimedios|grupo multimedios|multimedios televisión|multimedios noticias|multimedios CDMX|CDMX|Ciudad de México|EDOMEX|Estado de México|noticias|canal 6|Telediariomx|Carlos Zúñiga|Paola Barquet|Estilista de las estrellas|Daniel Urquiza|Murió Daniel Urquiza|Tras los Famosos|Famosos|espectáculos|entretenimiento|multimedios espectáculos|multimedios estretenimiento|Tania Burak|Maria Luisa Valdés Doria|Maguicha|Muere el estilista de los famosos","331053","2965","120","882","https://i.ytimg.com/vi/nmtHlCMdgBc/default.jpg","False","False","El estilista de las estrellas fue hallado sin vida en su casa, se presume que Daniel Urquiza podría haberse suicidado.","PT1M39S"
"fP-EHI4M97s","León [3-2] América | Resumen final | Jornada 14 Apertura 2020 | Liga MX","2020-10-20T04:47:24Z","UCqfCJBfrFSO4tZM1LNZTBFQ","Marca Claro","17","20.20.10","Deportes|Videos de deportes|MARCAClaro|MARCA Claro|Noticias de deportes|león vs américa|león vs américa 2020|león vs américa apertura 2020|león 2020|león apertura 2020|américa 2020|américa apertura 2020|liga mx|liga mx apertura 2020|león contra américa|león contra américa apertura 2020|león contra américa 2020|león vs américa resumen|león vs américa apertura 2020 resumen","78430","792","80","136","https://i.ytimg.com/vi/fP-EHI4M97s/default.jpg","False","False","El León consigue la victoria con un marcador abultado frente a las Águilas del América y confirman su liderato en la jornada 14 del Apertura 2020.http://bit.ly/2YAWO4p SUSCRÍBETE y mantente con las últimas noticias del mundo deportivo.Un primer tiempo lleno de goles, donde tanto León como América marcaron dos cada uno; primero por la vía de Fernando Navarro para La Fiera y luego Córdova puso el empate. Henry Martín le dio la ventaja por un momento a los de Coapa y Jean Meneses puso el 2-2 al descanso.Para el segundo tiempo, América perdió a Benedetti por lesión y el funcionamiento se perdió. Al final, Chapito Montes anotó el 3-2 definitivo y León se llevó los tres puntos.¡Dale un vistazo a nuestras producciones originales!https://www.youtube.com/clarosports/p...¡Visita www.marcaclaro.com para más información!¡Síguenos en nuestras REDES SOCIALES!Twitter: https://twitter.com/MarcaClaroFacebook: https://www.facebook.com/marcaclaro/Instagram: https://www.instagram.com/marcaclaro/","PT5M32S"
"BkgcD3V0IP8","Regresamos a trabajar en tiempos de COVID | Lapizito Gomita y Lapizin","2020-10-19T21:22:26Z","UCLBrzsFRM-PgnLgAaxOLRFA","SoyFredy","22","20.20.10","lapizito|soy freddy|lapizin crack|lapizin|gomita|circo|comedia|payasos|covid|normalidad|nuevo video|familia|chistoso","371972","43971","663","1975","https://i.ytimg.com/vi/BkgcD3V0IP8/default.jpg","False","False","#SoyFredyDespués de 7 meses lapizito gomita y lapizin regresan al circo a trabajar con la nueva normalidad y esto pasó…CANAL YOUTUBE FL FREDY https://www.youtube.com/channel/UCZhAgbfnsm9uwTQGxhsHW2gINSTAGRAM FL FREDY  https://instagram.com/flfredymusic?ig... CONTRATACIONES LAPIZITO Y LAPIZIN:  55 36539208  Mis redes OficialesINSTAGRAM: https://instagram.com/lapizitooficial/TWITTER: https://twitter.com/lapizito123?lang=esFACEBOOK: https://es-la.facebook.com/pages/Lapi... DALE LIKE,SUSCRIBETE Y COMPARTE si te saque una sonrisa! :D","PT14M16S"
"fPsW-0nzjHg","En Cortinas #11: ¿Dejarse morir o evolucionar en internet? FT. Werevertumorro","2020-10-19T18:15:15Z","UCBGTa75yKQ84Q6Pcr3NQ_RA","En Cortinas con Luisito - Podcast","22","20.20.10","podcast|luisito podcast|luisito comunica podcast|en cortinas|entre cortinas|en cortinillas|entre cortinillas|radio|radio show|programa de radio|entrevistas|interviews|luisito comunica|canal de podcast","612001","52846","821","3643","https://i.ytimg.com/vi/fPsW-0nzjHg/default.jpg","False","False","Cámbiate a mi compañía de telefonía móvil PILLOFON ahora https://pillofon.mxSigue a Werevertumorro en todas sus redes:- Instagram https://www.instagram.com/werevertumorro/- Facebook https://www.facebook.com/werevertumorro/- YouTube https://www.youtube.com/channel/UCn4smynZFlnwrKhu9zkxwWw- Twitter https://twitter.com/werevertumorroSUSCRÍBETE AL PODCAST MÁS COOL DEL PLANETA.","PT1H11M19S"
"OPs8EE8jEIU","Jimenez seals three big points! | Leeds United 0-1 Wolves | Highlights","2020-10-19T23:22:14Z","UCQ7Lqg5Czh5djGK6iOG53KQ","Wolves","17","20.20.10","wolves|wolverhampton wanderers|wolverhampton wanderers fc|wwfc|official wolves|officialwolves|football|soccer|Wolverhampton|raul jimenez|raul jimenez goal|raul jimenez leeds|leeds united|leeds wolves|wolves highlights|leeds wolves highlights|conor coady|adama traore|pedro neto|ruben neves|joao moutinho","554470","8736","222","451","https://i.ytimg.com/vi/OPs8EE8jEIU/default.jpg","False","False","Romain Saiss has a stunner disallowed by VAR, but our luck turned as Raul Jimenez's shot was deflected into the net to earn us the win at Leeds.","PT1M58S"
"q-t1Pu_fdPw","ENTREVISTA A DANIEL URQUIZA POR ELISA! TE RECORDAREMOS CON CARIÑO - CHISME NO LIKE","2020-10-20T02:31:34Z","UC5qgk9xFZhXjzvCRcZn8KqQ","Chisme No Like","24","20.20.10","chisme no like|elisa beristain|espectaculos|javier ceriani|chisme|entretenimiento|show|farandula|memedeldia|showbusiness|la farandula|daniel urquiza|elisa|entrevista|te recordaremos|con carino","223503","7962","224","1879","https://i.ytimg.com/vi/q-t1Pu_fdPw/default.jpg","False","False","Triste noticia hoy 19 de octubre de 2020. Daniel Urquiza se nos adelanta y aquí lo recordamos con cariño. Membresias de Chisme No Likehttps://www.youtube.com/channel/UC5qgk9xFZhXjzvCRcZn8KqQ/joinPara contacto de patrocinadores u otros negocios:chismenolike@gmail.com","PT55M41S"
"rPJfeOXcYFQ","Una familia de 10, C4: ¿Los verdaderos padres de Justito? | T5 | Distrito Comedia","2020-10-19T15:00:24Z","UCms2rIXwmMvIpDUU69X0PoQ","Distrito Comedia","24","20.20.10","Televisa|Distrito comedia|programas distrito comedia|Televisa comedia|Una familia de diez|segunda temporada|Jorge Ortiz de Pinedo|Mariana Botas|Andrea Torre|Daniela Luján|Jessica Segura|Eduardo Manzano|Primera temporada|Zully Keith|Ricardo Margaleff|Moisés Iván Mora|Camila Rivas|Tadeo Bonavides|licha familia de 10 revive|despedida de soltera|la boda de martina|martina se casa|temporada 5|una familia de diez capítulo 4|capítulo 4","1522264","41201","1093","1714","https://i.ytimg.com/vi/rPJfeOXcYFQ/default.jpg","False","False","Capítulos completos #Soloenblim: https://app.blim.com/Cs9x/ytdnufdddc'El Ajolotito' se encarga de leer frente a todos los integrantes de 'Una Familia de Diez' la prueba que por tanto tiempo busco para comprobar cual es su verdadero origen. #UnaFamiliaDeDiezSitio Oficial: http://bit.ly/2w5k2xPFacebook: http://bit.ly/2uDZ5xeTwitter: http://bit.ly/2vW3hsbInstagram: http://bit.ly/2vD4P7J","PT7M50S"
